NO,DESCRIPTION,Unit,2020,2021,2022,2023,2024
1,Aircraft KM,(000),".851","7",".709","9",".764"
2,Aircraft Departure,number,".824","6",".657","8",".492"
3,Aircraft Hours,number,"5044:58","4341:30","3992:40","20385:49","20299:12"
4,Passenger Carried,number,"9",".626","285.492","785.790","1.178.190"
5,Freight Carried,ton,".208","5",".454","7",".583"
6,Passenger KM,(000),"6",".979","321.249","982.001","1.431.750"
7,Available Seat KM,(000),"520.260","30.572","413.920","1.434.984","1.827.112"
8,Passenger L/F,(%),"7,61","6","8,43","7","8,36"
9a,Ton KM Performed - Passenger,(000),"4","89","22.674","69.353","102.342"
9b,Ton KM Performed - Freight,(000),".956","4",".320","6",".659"
9c,Ton KM Performed - Mail,(000),"1","30","80","81","34"
9d,Ton KM Performed - Total,(000),".585","2","6.710","73.754","109.035"
10,Available Ton KM,(000),"74.538","28.034","78.520","227.387","244.701"
11,Weight L/F,(%),"4,02","3","2,44","4","4,56"
