NO,DESCRIPTION,Unit,2020,2021,2022,2023,2024
1,Aircraft KM,(000),"8",".211","2","0.477","25.122"
2,Aircraft Departure,number,"4",".166","8",".774","11.800"
3,Aircraft Hours,number,"7059:06","1564:15","12147:26","29657:07:00","37759:45:00"
4,Passenger Carried,number,"57.967","462.440","1.020.233","1",".674.128"
5,Freight Carried,ton,"20","1",".473","2",".221"
6,Passenger KM,(000),"79.458","1.021.586","2.548.510","3",".780.941"
7,Available Seat KM,(000),"161.162","1.421.728","3.686.640","4",".652.432"
8,Passenger L/F,(%),"1,86","6","9,13","8","1,27"
9a,Ton KM Performed - Passenger,(000),".151","9","1.804","229.033","332.731"
9b,Ton KM Performed - Freight,(000),".232","2",".236","5",".164"
9c,Ton KM Performed - Mail,(000),"-","19","18","1","-"
9d,Ton KM Performed - Total,(000),".922","9","3.054","231.270","337.895"
10,Available Ton KM,(000),"91.755","19.095","98.667","233.773","386.731"
11,Weight L/F,(%),"4,31","9","8,93","8","7,00"
