NO,DESCRIPTION,Unit,2020,2021,2022,2023,2024
1,Aircraft KM,(000),"10","-","-","-","-"
2,Aircraft Departure,number,"76","-","-","-","-"
3,Aircraft Hours,number,"50:40","0:00","0:00","00:00","00:00"
4,Passenger Carried,number,".151","-","-","-","-"
5,Freight Carried,ton,"-","-","-","-","-"
6,Passenger KM,(000),"75","-","-","-","-"
7,Available Seat KM,(000),"62","-","-","-","-"
8,Passenger L/F,(%),"1,62","-","-","-","-"
9a,Ton KM Performed - Passenger,(000),"19","-","-","-","-"
9b,Ton KM Performed - Freight,(000),"-","-","-","-","-"
9c,Ton KM Performed - Mail,(000),"-","-","-","-","-"
9d,Ton KM Performed - Total,(000),"19","-","-","-","-"
10,Available Ton KM,(000),"63","-","-","-","-"
11,Weight L/F,(%),"0,48","-","-","-","-"
