NO,DESCRIPTION,Unit,2020,2021,2022,2023,2024
1,Aircraft KM,(000),".129","4",".452","4",",519"
2,Aircraft Departure,number,"44","7","19","7","30"
3,Aircraft Hours,number,"1175:00","15:40","2694:40","5632:10","5718:24"
4,Passenger Carried,number,"4.700","-","82.578","157.754","161,906"
5,Freight Carried,ton,".745","5",".183","5",",130"
6,Passenger KM,(000),"49.204","-","510.992","976.182","1.001.876"
7,Available Seat KM,(000),"3",".577","596.053","1.227.673","1.273.841"
8,Passenger L/F,(%),"8","5,73","7","9,51","78,65"
9a,Ton KM Performed - Passenger,(000),".936","-","40.880","78.095","80.152"
9b,Ton KM Performed - Freight,(000),".682","88","16.985","32.069","31,741"
9c,Ton KM Performed - Mail,(000),"6","-","-","-","-"
9d,Ton KM Performed - Total,(000),".625","88","57.865","110.164","111,893"
10,Available Ton KM,(000),"5","69","107.250","216.977","233,581"
11,Weight L/F,(%),"5","3,95","5","0,77","48"
