NO,DESCRIPTION,Unit,2020,2021,2022,2023,2024
1,Aircraft KM,(000),"-","6","87","408","-"
2,Aircraft Departure,number,"-","2","44","144","-"
3,Aircraft Hours,number,"645:55","0:00","1011:40","600:00","0:00"
4,Passenger Carried,number,"0.608","-","26.768","20.709","-"
5,Freight Carried,ton,"-","60","4","4","-"
6,Passenger KM,(000),"77.541","-","75.251","58.751","-"
7,Available Seat KM,(000),"105.071","-","123.599","73.535","-"
8,Passenger L/F,(%),"6","0,88","7","9,90","-"
9a,Ton KM Performed - Passenger,(000),"6",".773","5",".107","-"
9b,Ton KM Performed - Freight,(000),"-","1","70","125","-"
9c,Ton KM Performed - Mail,(000),"-","-","-","-","-"
9d,Ton KM Performed - Total,(000),"6",".943","5",".232","-"
10,Available Ton KM,(000),"-","11.399","6",".782","-"
11,Weight L/F,(%),"6","0,91","7","7,15","-"
