NO,DESCRIPTION,Unit,2020,2021,2022,2023,2024
1,Aircraft KM,(000),".549","4",".181","4",".417"
2,Aircraft Departure,number,"28","1",".528","1",".615"
3,Aircraft Hours,number,"1888:25","812:50","4123:25","6494:10","6798:25"
4,Passenger Carried,number,"5",".897","131.107","245.714","265.586"
5,Freight Carried,ton,".090","3",".527","3",".516"
6,Passenger KM,(000),"123.100","16.446","360.886","672.400","725.931"
7,Available Seat KM,(000),"234.770","145.742","568.394","844.756","896.456"
8,Passenger L/F,(%),"3,49","7","9,60","8","0,98"
9a,Ton KM Performed - Passenger,(000),".316","2","8.870","53.793","58.073"
9b,Ton KM Performed - Freight,(000),"3.964","9",".783","9",".756"
9c,Ton KM Performed - Mail,(000),"-","-","-","3","-"
9d,Ton KM Performed - Total,(000),".091","4","2.834","63.579","67.829"
10,Available Ton KM,(000),"28.268","21.488","68.833","97.773","102.793"
11,Weight L/F,(%),"2,23","6","5,03","6","6,00"
