NO,DESCRIPTION,Unit,2020,2021,2022,2023,2024
1,Aircraft KM,(000),"5",".792","1","1.538","11.146"
2,Aircraft Departure,number,".240","2",".371","2",".266"
3,Aircraft Hours,number,"2936:26","0:00","183124:48","15217:21","14638:23"
4,Passenger Carried,number,"2.454","-","211.619","421.764","465.239"
5,Freight Carried,ton,".224","2",".314","5",".823"
6,Passenger KM,(000),"-","1.020.288","2.091.100","2",".298.218"
7,Available Seat KM,(000),"-","1.130.805","2.451.854","2",".755.650"
8,Passenger L/F,(%),"0,23","8","5,29","8","3,40"
9a,Ton KM Performed - Passenger,(000),"9.442","-","92.914","171.734","200.187"
9b,Ton KM Performed - Freight,(000),"6",".750","1","2.374","29.681"
9c,Ton KM Performed - Mail,(000),"43","4","50","1",".649"
9d,Ton KM Performed - Total,(000),"45.132","-","99.807","184.558","231.517"
10,Available Ton KM,(000),"74.277","-","147.489","337.961","397.186"
11,Weight L/F,(%),"7,67","5","4,61","5","8,29"
