NO,DESCRIPTION,Unit,2020,2021,2022,2023,2024
1,Aircraft KM,(000),".810","1","7.320","29.428","32,625"
2,Aircraft Departure,number,"2",".434","4",".011","4,446"
3,Aircraft Hours,number,"15133:05","11344:00","20252:00","34822:30:00","38761:30:00"
4,Passenger Carried,number,"283.996","194.624","621.188","1.224.793","1.341.206"
5,Freight Carried,ton,"15.316","15.994","12.943","21.977","33,121"
6,Passenger KM,(000),"2.107.253","1.346.409","4.448.336","9.023.309","9.910.727"
7,Available Seat KM,(000),"3.788.149","2.649.400","5.016.356","10.091.065","11.035.028"
8,Passenger L/F,(%),"8","8,68","8","9,42","89,81"
9a,Ton KM Performed - Passenger,(000),"179.117","114.445","378.109","766.982","842.413"
9b,Ton KM Performed - Freight,(000),"108.332","110.645","90.070","157.640","243,074"
9c,Ton KM Performed - Mail,(000),".476","1","76","1","96"
9d,Ton KM Performed - Total,(000),"291.270","225.628","469.655","924.798","1.085.683"
10,Available Ton KM,(000),"645.850","419.557","817.507","1.785.171","1.896.776"
11,Weight L/F,(%),"7,45","5","1,80","5","7"
