NO,DESCRIPTION,Unit,2020,2021,2022,2023,2024
1,Aircraft KM,(000),"48","5","96","558","365"
2,Aircraft Departure,number,"20","4","56","428","280"
3,Aircraft Hours,number,"832:00","840:00","929:09","891:40","583:20"
4,Passenger Carried,number,"-","-","-","-","-"
5,Freight Carried,ton,"7",".988","4",".694","3,205"
6,Passenger KM,(000),"-","-","-","-","-"
7,Available Seat KM,(000),"86","-","-","-","-"
8,Passenger L/F,(%),")","-","-","-","0,00"
9a,Ton KM Performed - Passenger,(000),"-","-","-","-","-"
9b,Ton KM Performed - Freight,(000),"2.215","10.502","6",".207","4,237"
9c,Ton KM Performed - Mail,(000),"-","-","-","-","-"
9d,Ton KM Performed - Total,(000),"2.215","10.502","6",".207","4,237"
10,Available Ton KM,(000),"24.230","24.126","26.194","24.588","16,085"
11,Weight L/F,(%),"0,09","2","5,24","2","6"
