NO,DESCRIPTION,Unit,2020,2021,2022,2023,2024
1,Aircraft KM,(000),".073","-","-","-","-"
2,Aircraft Departure,number,"02","-","-","-","-"
3,Aircraft Hours,number,"1224:00","0:00","0:00","00:00","00:00"
4,Passenger Carried,number,"5.548","-","-","-","-"
5,Freight Carried,ton,"9","-","-","-","-"
6,Passenger KM,(000),"373.886","-","-","-","-"
7,Available Seat KM,(000),"490.194","-","-","-","-"
8,Passenger L/F,(%),"6,27","-","-","-","-"
9a,Ton KM Performed - Passenger,(000),"3.396","-","-","-","-"
9b,Ton KM Performed - Freight,(000),"90","-","-","-","-"
9c,Ton KM Performed - Mail,(000),"47","-","-","-","-"
9d,Ton KM Performed - Total,(000),"34.333","-","-","-","-"
10,Available Ton KM,(000),"57.394","-","-","-","-"
11,Weight L/F,(%),"9,82","-","-","-","-"
