NO,DESCRIPTION,Unit,2020,2021,2022,2023,2024
1,Aircraft KM,(000),"5","16","1",".377","1,454"
2,Aircraft Departure,number,"44","3","47","936","991"
3,Aircraft Hours,number,"931:28","100:40","802:45","2200:07","2293:40"
4,Passenger Carried,number,".582","3","7.956","92.595","118,344"
5,Freight Carried,ton,"45","48","88","189","249"
6,Passenger KM,(000),".891","5","6.349","136.298","173,362"
7,Available Seat KM,(000),".504","7","7.152","206.623","218,741"
8,Passenger L/F,(%),"0,94","7","3,04","65,96","79,25"
9a,Ton KM Performed - Passenger,(000),"27","4",".733","11.449","14.560"
9b,Ton KM Performed - Freight,(000),"72","1","34","280","362"
9c,Ton KM Performed - Mail,(000),"7","2","1","-","-"
9d,Ton KM Performed - Total,(000),"01","4",".868","11.729","14,922"
10,Available Ton KM,(000),".431","1","1.083","29.658","31,856"
11,Weight L/F,(%),"8,02","4","3,92","39,55","47,00"
