NO,DESCRIPTION,Unit,2020,2021,2022,2023,2024
1,Aircraft KM,(000),".743","1","4.791","22.458","23.921"
2,Aircraft Departure,number,"1",".791","2",".719","2.910"
3,Aircraft Hours,number,"8278:48","1899:00","25281:00","24471:00:00","26114:00"
4,Passenger Carried,number,"24.765","613.705","873.475","1",".062.417"
5,Freight Carried,ton,"4",".011","5",".638","6.797"
6,Passenger KM,(000),"204.559","5.069.203","7",".214.903","8.748.290"
7,Available Seat KM,(000),"719.801","6.109.781","9",".746.023","10.813.260"
8,Passenger L/F,(%),"8","2,97","7","4,03","80,90"
9a,Ton KM Performed - Passenger,(000),"185.379","17.388","430.881","613.267","743.601"
9b,Ton KM Performed - Freight,(000),"18.736","24.359","33.127","46.579","56.122"
9c,Ton KM Performed - Mail,(000),"12","5","11","713","857"
9d,Ton KM Performed - Total,(000),"204.207","41.759","464.519","660.559","800.580"
10,Available Ton KM,(000),"101.086","858.034","1",".302.619","1.406.286"
11,Weight L/F,(%),"5","4,14","5","0,71","56,93"
