NO,DESCRIPTION,Unit,2020,2021,2022,2023,2024
1,Aircraft KM,(000),".374","8",".673","9",".117"
2,Aircraft Departure,number,".961","7",".301","7",".774"
3,Aircraft Hours,number,"2915:05","1607:20","9311:25","14960:25","15802:29"
4,Passenger Carried,number,"183.189","21.790","744.277","1.386.382","1.438.796"
5,Freight Carried,ton,".256","1","14","1","96"
6,Passenger KM,(000),"220.172","31.178","1.009.129","1.661.581","1.721.388"
7,Available Seat KM,(000),"336.331","174.100","1.172.098","1.954.341","1.994.018"
8,Passenger L/F,(%),"6,10","8","5,02","8","6,33"
9a,Ton KM Performed - Passenger,(000),".806","2","6.179","124.618","129.105"
9b,Ton KM Performed - Freight,(000),".038","1","41","2","32"
9c,Ton KM Performed - Mail,(000),"-","2","-","-","-"
9d,Ton KM Performed - Total,(000),".371","2","8.217","124.760","129.337"
10,Available Ton KM,(000),"43.177","23.377","171.836","288.193","287.434"
11,Weight L/F,(%),"6,42","4","3,29","4","5,00"
