NO,DESCRIPTION,Unit,2020,2021,2022,2023,2024
1,Aircraft KM,(000),"41","6","73","2",".673"
2,Aircraft Departure,number,"10","1","64","6","52"
3,Aircraft Hours,number,"0:00","0:00","50:50","833:40","3312:45"
4,Passenger Carried,number,"1",".187","2","2.633","95.732"
5,Freight Carried,ton,"-","25","69","6","31"
6,Passenger KM,(000),"4",".867","9","2.795","392.500"
7,Available Seat KM,(000),"-","6",".724","110.335","438.907"
8,Passenger L/F,(%),"2,38","8","4,10","8","9,43"
9a,Ton KM Performed - Passenger,(000),"77","8",".049","3","2.261"
9b,Ton KM Performed - Freight,(000),"02","2","92","2",".586"
9c,Ton KM Performed - Mail,(000),"-","-","-","-","-"
9d,Ton KM Performed - Total,(000),"79","8",".341","3","4.847"
10,Available Ton KM,(000),"-","-","7","10.086","40.098"
11,Weight L/F,(%),"2,71","8","2,70","8","6,90"
