NO,DESCRIPTION,Unit,2020,2021,2022,2023,2024
1,Aircraft KM,(000),"1","77","20","-","-"
2,Aircraft Departure,number,"48","54","6","-","-"
3,Aircraft Hours,number,"1333:00","290:15","32:15","-","-"
4,Passenger Carried,number,"10","-","-","-","-"
5,Freight Carried,ton,"1",".114","93","-","-"
6,Passenger KM,(000),"33","-","-","-","-"
7,Available Seat KM,(000),"39.479","-","-","-","-"
8,Passenger L/F,(%),"0",",08","-","-","-"
9a,Ton KM Performed - Passenger,(000),"-","-","-","-","-"
9b,Ton KM Performed - Freight,(000),".650","3","05","-","-"
9c,Ton KM Performed - Mail,(000),"-","-","-","-","-"
9d,Ton KM Performed - Total,(000),".650","3","05","-","-"
10,Available Ton KM,(000),".925","8","81","-","-"
11,Weight L/F,(%),"6,06","3","4,62","-","-"
