NO,DESCRIPTION,Unit,2020,2021,2022,2023,2024
1,Aircraft KM,(000),"-","-","-","5","00"
2,Aircraft Departure,number,"-","-","-","1","56"
3,Aircraft Hours,number,"-","-","0:00","0:00","676:00"
4,Passenger Carried,number,"-","-","-","-","16.553"
5,Freight Carried,ton,"-","-","-","-","-"
6,Passenger KM,(000),"-","-","-","-","52.968"
7,Available Seat KM,(000),"-","-","-","-","94.282"
8,Passenger L/F,(%),"-","-","-","5","6,18"
9a,Ton KM Performed - Passenger,(000),"-","-","-","5",".079"
9b,Ton KM Performed - Freight,(000),"-","-","-","-","-"
9c,Ton KM Performed - Mail,(000),"-","-","-","-","-"
9d,Ton KM Performed - Total,(000),"-","-","-","5",".079"
10,Available Ton KM,(000),"-","-","-","-","-"
11,Weight L/F,(%),"-","-","-","-","-"
