NO,DESCRIPTION,Unit,2020,2021,2022,2023,2024
1,Aircraft KM,(000),"17","2","00","-","-"
2,Aircraft Departure,number,".446","40","42","-","-"
3,Aircraft Hours,number,"3057:56","57:50","6247:12","00:00","00:00"
4,Passenger Carried,number,".973","6",".002","-","-"
5,Freight Carried,ton,".313","62","19","-","-"
6,Passenger KM,(000),"8","35","28.992","-","-"
7,Available Seat KM,(000),".741","3","7.474","-","-"
8,Passenger L/F,(%),"0,46","7","7,37","-","-"
9a,Ton KM Performed - Passenger,(000),"64","2",".319","-","-"
9b,Ton KM Performed - Freight,(000),"26","1","06","-","-"
9c,Ton KM Performed - Mail,(000),"-","-","13","-","-"
9d,Ton KM Performed - Total,(000),"90","2",".438","-","-"
10,Available Ton KM,(000),"81","4",".879","-","-"
11,Weight L/F,(%),"2,03","4","9,97","-","-"
