NO,DESCRIPTION,Unit,2020,2021,2022,2023,2024
1,Aircraft KM,(000),"6",".574","1","3.133","14.591"
2,Aircraft Departure,number,"5",".721","1","1.111","12.341"
3,Aircraft Hours,number,"6190:40","4148:45","11845:25","32763:21","30055:58"
4,Passenger Carried,number,"134.921","1.265.497","2.347.691","2",".690.471"
5,Freight Carried,ton,"31.506","37.458","37.623","37.644","50.031"
6,Passenger KM,(000),"117.560","1.510.600","2.881.754","3",".334.979"
7,Available Seat KM,(000),"452.406","1.777.988","3.436.459","3",".879.960"
8,Passenger L/F,(%),"4,96","8","3,86","8","5,95"
9a,Ton KM Performed - Passenger,(000),"9",".052","116.314","221.885","256.764"
9b,Ton KM Performed - Freight,(000),"31.087","35.176","37.800","38.643","51.351"
9c,Ton KM Performed - Mail,(000),"60","1","18","8","4"
9d,Ton KM Performed - Total,(000),"67.865","44.327","154.174","260.646","308.200"
10,Available Ton KM,(000),"99.001","497.921","898.423","1",".006.224"
11,Weight L/F,(%),"0,96","2","9,01","3","0,63"
