NO,DESCRIPTION,Unit,2020,2021,2022,2023,2024
1,Aircraft KM,(000),"1",".715","1",".669","1,643"
2,Aircraft Departure,number,"12","5","22","508","500"
3,Aircraft Hours,number,"504:00","9","8","2286:00","2250:00:00"
4,Passenger Carried,number,"4.579","12.232","122.101","91.812","72,388"
5,Freight Carried,ton,"2",".373","1",".481","1,148"
6,Passenger KM,(000),"80.742","40.178","401.100","301.602","237,796"
7,Available Seat KM,(000),"96.362","96.066","461.730","410.974","306,852"
8,Passenger L/F,(%),"8","6,87","7","3,39","77,50"
9a,Ton KM Performed - Passenger,(000),".893","2","8.880","21.716","17.114"
9b,Ton KM Performed - Freight,(000),"7",".788","4",".863","3,771"
9c,Ton KM Performed - Mail,(000),"-","-","-","-","-"
9d,Ton KM Performed - Total,(000),".994","3","6.668","26.579","20,885"
10,Available Ton KM,(000),"11.750","14.165","69.365","239.720","174,978"
11,Weight L/F,(%),"5","2,86","1","1,09","12,00"
