NO,DESCRIPTION,Unit,2020,2021,2022,2023,2024
1,Aircraft KM,(000),"-","-","-","4","69"
2,Aircraft Departure,number,"-","-","-","1","21"
3,Aircraft Hours,number,"-","-","-","-","780:10"
4,Passenger Carried,number,"-","-","-","-","13.585"
5,Freight Carried,ton,"-","-","-","1","41"
6,Passenger KM,(000),"-","-","-","-","52.775"
7,Available Seat KM,(000),"-","-","-","-","87.738"
8,Passenger L/F,(%),"-","-","-","6","0,15"
9a,Ton KM Performed - Passenger,(000),"-","-","-","4",".717"
9b,Ton KM Performed - Freight,(000),"-","-","-","5","53"
9c,Ton KM Performed - Mail,(000),"-","-","-","-","-"
9d,Ton KM Performed - Total,(000),"-","-","-","5",".270"
10,Available Ton KM,(000),"-","-","-","5",".553"
