NO,DESCRIPTION,Unit,2020,2021,2022,2023,2024
1,Aircraft KM,(000),"-","3","61","3",".644"
2,Aircraft Departure,number,"-","-","62","6","26"
3,Aircraft Hours,number,"0:00","0:00","0:00","501:10","4799:25"
4,Passenger Carried,number,"-","-","-","10.158","141.893"
5,Freight Carried,ton,"-","-","-","1","45"
6,Passenger KM,(000),"-","-","-","59.160","825.855"
7,Available Seat KM,(000),"-","-","-","67.838","974.411"
8,Passenger L/F,(%),"-","8","7,21","8","4,75"
9a,Ton KM Performed - Passenger,(000),"-","4",".733","6","6.005"
9b,Ton KM Performed - Freight,(000),"-","-","2","8","44"
9c,Ton KM Performed - Mail,(000),"-","-","-","-","3"
9d,Ton KM Performed - Total,(000),"-","4",".735","6","6.852"
10,Available Ton KM,(000),"-","5",".290","7","9.129"
11,Weight L/F,(%),"-","8","9,51","8","4,00"
