NO,DESCRIPTION,Unit,2020,2021,2022,2023,2024
1,Aircraft KM,(000),"2",".100","5",".406","2,784"
2,Aircraft Departure,number,"7","03","1",".926","939"
3,Aircraft Hours,number,"1071:00","0:00","3025:25","7700:35","3962:20"
4,Passenger Carried,number,"1.773","-","103.571","270.554","134,556"
5,Freight Carried,ton,"4","-","7","103","1"
6,Passenger KM,(000),"94.938","-","309.165","760.598","398,988"
7,Available Seat KM,(000),"135.536","-","377.735","973.030","501,343"
8,Passenger L/F,(%),"-","8","1,85","78,17","79,58"
9a,Ton KM Performed - Passenger,(000),".544","-","27.824","68.453","35.910"
9b,Ton KM Performed - Freight,(000),"13","-","23","272","1"
9c,Ton KM Performed - Mail,(000),"-","-","-","-","-"
9d,Ton KM Performed - Total,(000),".558","-","27.847","68.725","35,911"
10,Available Ton KM,(000),"12.499","-","34.835","89.732","46,238"
11,Weight L/F,(%),"-","7","9,94","76,59","78,00"
