NO,DESCRIPTION,Unit,2020,2021,2022,2023,2024
1,Aircraft KM,(000),".652","5",".210","5",".683"
2,Aircraft Departure,number,".076","2",".144","2",".319"
3,Aircraft Hours,number,"1534:00","313:20","3913:06","7206:58","7836:37"
4,Passenger Carried,number,"1",".318","230.872","422.337","515.621"
5,Freight Carried,ton,".348","8",".510","1","0.978"
6,Passenger KM,(000),"3",".063","573.581","1.034.378","1.267.959"
7,Available Seat KM,(000),"376.001","69.979","803.553","1.497.540","1.698.175"
8,Passenger L/F,(%),"1,38","6","9,07","7","4,67"
9a,Ton KM Performed - Passenger,(000),"2","39","44.738","111.728","98.768"
9b,Ton KM Performed - Freight,(000),".554","1","5.178","20.078","25.988"
9c,Ton KM Performed - Mail,(000),"80","2","67","2","42"
9d,Ton KM Performed - Total,(000),".793","6","0.296","132.073","124.998"
10,Available Ton KM,(000),"56.962","15.298","142.109","252.520","284.617"
11,Weight L/F,(%),"2,43","5","2,30","4","4,00"
