NO,DESCRIPTION,Unit,2020,2021,2022,2023,2024
1,Aircraft KM,(000),"6","24","9","44","967"
2,Aircraft Departure,number,"4","48","6","84","700"
3,Aircraft Hours,number,"1201:46","0:00","51759:05","2394:00","2400:00"
4,Passenger Carried,number,"2.163","-","63.505","94.024","101.713"
5,Freight Carried,ton,"4","54","3","47","625"
6,Passenger KM,(000),"97.607","-","88.475","129.677","140.593"
7,Available Seat KM,(000),"165.965","-","126.790","181.337","184.616"
8,Passenger L/F,(%),"9,78","7","1,51","7","6,15"
9a,Ton KM Performed - Passenger,(000),"6",".644","9",".726","10.536"
9b,Ton KM Performed - Freight,(000),"6","14","4","77","865"
9c,Ton KM Performed - Mail,(000),"-","-","-","-","-"
9d,Ton KM Performed - Total,(000),"7",".258","1","0.203","11.400"
10,Available Ton KM,(000),"17.047","-","10.000","12.350","13.768"
11,Weight L/F,(%),"2,58","8","2,62","8","2,80"
