NO,DESCRIPTION,Unit,2020,2021,2022,2023,2024
1,Aircraft KM,(000),".426","1","0.872","14.851","14.948"
2,Aircraft Departure,number,"1",".062","1",".449","1.458"
3,Aircraft Hours,number,"6713:00","8736:00","12902:50","17563:30","17418:00"
4,Passenger Carried,number,"123.809","115.624","312.658","438.334","442.520"
5,Freight Carried,ton,".632","1","1.343","10.839","12.466"
6,Passenger KM,(000),"1.179.406","3.200.279","4",".491.277","4.536.371"
7,Available Seat KM,(000),"2.385.820","3.579.421","4",".772.701","4.854.766"
8,Passenger L/F,(%),"8","9,41","9","4,10","93,44"
9a,Ton KM Performed - Passenger,(000),"114.782","107.712","281.219","396.993","401.699"
9b,Ton KM Performed - Freight,(000),"45.861","98.251","115.895","110.887","127.589"
9c,Ton KM Performed - Mail,(000),"4","92","1",".971","1.621"
9d,Ton KM Performed - Total,(000),"164.080","206.610","397.606","509.851","530.909"
10,Available Ton KM,(000),"323.667","422.110","660.067","842.088","821.927"
11,Weight L/F,(%),"6","0,24","6","0,55","64,59"
