NO,DESCRIPTION,Unit,2020,2021,2022,2023,2024
1,Aircraft KM,(000),"-","-","468","1",",027"
2,Aircraft Departure,number,"-","-","7","2","158"
3,Aircraft Hours,number,"304:40","0:00","0:00","612:00","1343:00:00"
4,Passenger Carried,number,".139","-","-","11.466","20,940"
5,Freight Carried,ton,"-","-","3","6","545"
6,Passenger KM,(000),"20.400","-","-","74.323","135,731"
7,Available Seat KM,(000),"60.753","-","-","118.872","255,953"
8,Passenger L/F,(%),"-","-","6","2,52","53,03"
9a,Ton KM Performed - Passenger,(000),"-","-","6",".690","12.221"
9b,Ton KM Performed - Freight,(000),"-","-","234","3",",533"
9c,Ton KM Performed - Mail,(000),"-","-","-","1","26"
9d,Ton KM Performed - Total,(000),"-","-","6",".924","15,880"
10,Available Ton KM,(000),"15.559","-","-","27.717","61,454"
11,Weight L/F,(%),"-","2","4,98","2","6"
