NO,DESCRIPTION,Unit,2020,2021,2022,2023,2024
1,Aircraft KM,(000),".484","8",".925","1","1.499"
2,Aircraft Departure,number,".295","3",".456","4",".396"
3,Aircraft Hours,number,"1028:02","0:00","5074:40","13095:01","16889:51"
4,Passenger Carried,number,"0.237","-","215.104","528.254","696.773"
5,Freight Carried,ton,"47","1",".339","3",".060"
6,Passenger KM,(000),"54.159","-","576.497","1.373.171","1.827.804"
7,Available Seat KM,(000),"85.424","-","802.165","2.006.532","2.479.343"
8,Passenger L/F,(%),"1,87","6","8,44","7","3,72"
9a,Ton KM Performed - Passenger,(000),".333","-","46.131","109.855","146.222"
9b,Ton KM Performed - Freight,(000),"61","3",".284","7",".435"
9c,Ton KM Performed - Mail,(000),"-","-","-","-","-"
9d,Ton KM Performed - Total,(000),".470","-","46.992","113.139","153.657"
10,Available Ton KM,(000),"18.987","-","74.005","186.076","228.545"
11,Weight L/F,(%),"3,50","6","0,80","6","7,23"
