NO,DESCRIPTION,Unit,2020,2021,2022,2023,2024
1,Aircraft KM,(000),"7","30","1",".392","1,388"
2,Aircraft Departure,number,"39","3","84","732","730"
3,Aircraft Hours,number,"707:46","654:18","1055:05","1984:11:00","1968:52:00"
4,Passenger Carried,number,"6.378","-","33.060","102.095","104,95"
5,Freight Carried,ton,"1",".443","1",".015","1,280"
6,Passenger KM,(000),"55.875","-","62.712","194.066","199,092"
7,Available Seat KM,(000),"96.104","88.720","106.436","256.525","255,705"
8,Passenger L/F,(%),"5","8,92","7","5,65","77,86"
9a,Ton KM Performed - Passenger,(000),"-","5",".072","14.770","15.024"
9b,Ton KM Performed - Freight,(000),"2",".750","1",".936","2,428"
9c,Ton KM Performed - Mail,(000),"-","-","-","-","-"
9d,Ton KM Performed - Total,(000),".943","7",".822","16.706","17,452"
10,Available Ton KM,(000),".612","1","5.427","29.829","29,343"
11,Weight L/F,(%),"5","0,70","5","6,01","59,00"
