NO,DESCRIPTION,Unit,2020,2021,2022,2023,2024
1,Aircraft KM,(000),"5",".637","1","6.450","15.417"
2,Aircraft Departure,number,".254","3",".759","3",".447"
3,Aircraft Hours,number,"3069:39","0:00","311","22314:25","20488:05"
4,Passenger Carried,number,"2.883","-","191.303","541.491","530.262"
5,Freight Carried,ton,"46","-","-","-","-"
6,Passenger KM,(000),"-","860.075","2.371.246","2",".370.470"
7,Available Seat KM,(000),"-","992.147","2.895.466","2",".721.595"
8,Passenger L/F,(%),"6,69","8","1,90","8","7,10"
9a,Ton KM Performed - Passenger,(000),"5.308","-","77.406","213.412","213.342"
9b,Ton KM Performed - Freight,(000),"09","-","-","-","-"
9c,Ton KM Performed - Mail,(000),"-","-","-","-","-"
9d,Ton KM Performed - Total,(000),"25.517","-","77.406","213.412","213.342"
10,Available Ton KM,(000),"90.939","-","245.219","715.642","670.632"
11,Weight L/F,(%),"1,57","2","9,82","3","1,81"
