NO,DESCRIPTION,Unit,2020,2021,2022,2023,2024
1,Aircraft KM,(000),"-","-","-","4","-"
2,Aircraft Departure,number,"-","-","-","4","-"
3,Aircraft Hours,number,"0:00","0:00","0:00","6:40","0:00"
4,Passenger Carried,number,"-","-","-","-","-"
5,Freight Carried,ton,"-","-","-","21","-"
6,Passenger KM,(000),"-","-","-","-","-"
7,Available Seat KM,(000),"-","-","-","-","-"
8,Passenger L/F,(%),"-","-","-","-","-"
9a,Ton KM Performed - Passenger,(000),"-","-","-","-","-"
9b,Ton KM Performed - Freight,(000),"-","-","-","24","-"
9c,Ton KM Performed - Mail,(000),"-","-","-","-","-"
9d,Ton KM Performed - Total,(000),"-","-","-","24","-"
10,Available Ton KM,(000),"-","-","1","00","-"
11,Weight L/F,(%),"-","-","2","4,00","-"
