NO,DESCRIPTION,Unit,2020,2021,2022,2023,2024
1,Aircraft KM,(000),"34","7",".000","9",".643"
2,Aircraft Departure,number,"83","1",".823","2",".509"
3,Aircraft Hours,number,"769:00","444:10","975:15","9376:55","13143:45"
4,Passenger Carried,number,".873","2","9.627","283.914","396.305"
5,Freight Carried,ton,"97","1",".172","8","19"
6,Passenger KM,(000),"86.150","35.818","119.204","1.088.953","1.521.122"
7,Available Seat KM,(000),"115.037","62.660","191.810","1.305.573","1.708.554"
8,Passenger L/F,(%),"2,15","8","3,41","8","9,03"
9a,Ton KM Performed - Passenger,(000),"8",".344","7","8.065","106.353"
9b,Ton KM Performed - Freight,(000),".000","4",".542","3",".198"
9c,Ton KM Performed - Mail,(000),"-","-","-","30","-"
9d,Ton KM Performed - Total,(000),".846","1","0.344","82.637","109.551"
10,Available Ton KM,(000),"14.588","12.783","40.284","153.237","179.518"
11,Weight L/F,(%),"5,68","5","3,93","6","1,03"
