NO,DESCRIPTION,Unit,2020,2021,2022,2023,2024
1,Aircraft KM,(000),4.219,3.127,4.059,3.959,4.696
2,Aircraft Departure,number,13.569,11.655,15.122,14.648,17.222
3,Aircraft Hours,number,9786:12,8599:09,11035:41,10696:47:00,12595:27:00
4,Passenger Carried,number,236.951,120.737,234.784,330.433,458.675
5,Freight Carried,ton,65.754,58.892,71.044,61.749,65.433
6,Passenger KM,(000),94.277,37.945,67.689,93.106,126.452
7,Available Seat KM,(000),136.980,56.187,95.357,122.138,164.299
8,Passenger L/F,(%),"68,83","67,53","70,98","76,23","76,96"
9a,Ton KM Performed - Passenger,(000),8.085,3.036,5.676,7.990,10.887
9b,Ton KM Performed - Freight,(000),18.087,14.529,17.730,15.208,16.424
9c,Ton KM Performed - Mail,(000),-,-,-,-,-
9d,Ton KM Performed - Total,(000),26.171,17.565,23.406,23.198,27.311
10,Available Ton KM,(000),47.603,32.767,43.364,41.749,47.491
11,Weight L/F,(%),"54,98","53,61","53,98","55,57",58
