NO,DESCRIPTION,Unit,2020,2021,2022,2023,2024
1,Aircraft KM,(000),24.858,11.598,16.648,18.848,16.977
2,Aircraft Departure,number,65.600,52.275,76.233,64.901,46.531
3,Aircraft Hours,number,62669:01,58830:09,87701:10,73037:58:00,50721:53
4,Passenger Carried,number,2.816.896,2.621.559,3.920.529,3.293.337,2.548.023
5,Freight Carried,ton,4.306,6.341,8.719,6.888,4.521
6,Passenger KM,(000),1.059.908,579.695,849.862,951.259,920.037
7,Available Seat KM,(000),1.789.804,835.064,1.198.613,1.357.110,1.222.323
8,Passenger L/F,(%),"59,22","69,42","70,90","70,09","75,27"
9a,Ton KM Performed - Passenger,(000),74.194,40.579,59.490,66.588,64.421
9b,Ton KM Performed - Freight,(000),1.854,1.498,2.043,2.199,1.641
9c,Ton KM Performed - Mail,(000),0,215,-,28,-
9d,Ton KM Performed - Total,(000),76.048,42.292,61.533,68.815,66.062
10,Available Ton KM,(000),160.417,74.108,104.628,120.335,108.041
11,Weight L/F,(%),"47,41","57,07","58,81","57,19","61,00"
