NO,RUTE (PP),JUMLAH PENERBANGAN,JUMLAH PENUMPANG,KAPASITAS SEAT,JUMLAH BARANG (Kg),JUMLAH POS,L/F
1,Jakarta (CGK)-Makassar (UPG),15065,1579052,2660708,28494003,1140884,"59,3%"
2,Jakarta (CGK)-Denpasar (DPS),15111,1549163,2907008,20444625,605309,"53,3%"
3,Jakarta (CGK)-Surabaya (SUB),14844,1547687,2635164,15753425,388367,"58,7%"
4,Jakarta (CGK)-Medan (KNO),14026,1544801,2602045,24109634,904519,"59,4%"
5,Jakarta (CGK)-Pontianak (PNK),8289,894422,1435678,13041635,413975,"62,3%"
6,Makassar (UPG)-Surabaya (SUB),6510,775928,1183158,8741138,171260,"65,6%"
7,Jakarta (CGK)-Palembang (PLM),6973,741703,1221015,3983011,58541,"60,7%"
8,Jakarta (CGK)-Padang Pariaman (PDG),6440,728179,1186943,7673882,202554,"61,3%"
9,Jakarta (CGK)-Pekanbaru (PKU),6899,725399,1202886,11024406,270462,"60,3%"
10,Jakarta (CGK)-Semarang (SRG),6962,646973,1158882,5933482,12204,"55,8%"
11,Jakarta (CGK)-Batam (BTH),6312,620767,1132035,13600327,1167519,"54,8%"
12,Jakarta (CGK)-Balikpapan (BPN),6576,604488,1175937,13518772,355023,"51,4%"
13,Surabaya (SUB)-Balikpapan (BPN),4754,569223,917020,5126412,68523,"62,1%"
14,Surabaya (SUB)-Denpasar (DPS),5349,552364,962668,1032437,71855,"57,4%"
15,Jakarta (CGK)-Bandar Lampung (TKG),4688,523150,808435,1439040,12068,"64,7%"
16,Jakarta (CGK)-Banjarmasin (BDJ),5220,516629,925249,10188322,226844,"55,8%"
17,Surabaya (SUB)-Banjarmasin (BDJ),3921,490201,769688,3695630,32869,"63,7%"
18,Makassar (UPG)-Kendari (KDI),3774,488258,702544,3641653,108836,"69,5%"
19,Jakarta (CGK)-Yogyakarta (JOG),3668,458709,663334,1221814,14468,"69,2%"
20,Jakarta (CGK)-Jambi (DJB),4492,457132,796805,4664254,16413,"57,4%"
21,Jakarta (CGK)-Pangkal Pinang (PGK),4272,439032,743719,5411998,40952,"59,0%"
22,"Jakarta (CGK)-Praya, Lombok (LOP)",3577,398833,652790,4858534,78629,"61,1%"
23,Medan (KNO)-Batam (BTH),3088,385556,593207,2744946,49078,"65,0%"
24,Jakarta (CGK)-Yogyakarta (YIA),4618,370933,811190,2271431,9641,"45,7%"
25,"Surabaya (SUB)-Praya, Lombok (LOP)",3142,364885,605590,2208406,38708,"60,3%"
26,Jakarta (CGK)-Manado (MDC),3638,330664,623950,7741683,229377,"53,0%"
27,Jakarta (CGK)-Bengkulu (BKS),2770,316274,532623,1874021,12873,"59,4%"
28,Makassar (UPG)-Balikpapan (BPN),2457,310041,460813,1294377,1962,"67,3%"
29,Surabaya (SUB)-Jakarta-HLP (HLP),2884,308889,480126,612652,2420,"64,3%"
30,Jakarta (CGK)-Solo (SOC),3153,298253,575315,2161624,46945,"51,8%"
31,Tarakan (TRK)-Balikpapan (BPN),2287,295371,429782,4750459,3274,"68,7%"
32,Surabaya (SUB)-Kupang (KOE),2583,292954,482962,4137238,115928,"60,7%"
33,Surabaya (SUB)-Batam (BTH),2369,281398,471281,3567606,14031,"59,7%"
34,Makassar (UPG)-Manado (MDC),2120,266729,415894,2461161,67050,"64,1%"
35,"Praya, Lombok (LOP)-Denpasar (DPS)",3114,246289,408254,167038,4186,"60,3%"
36,Pekanbaru (PKU)-Batam (BTH),1807,237794,348207,1092489,662,"68,3%"
37,Yogyakarta (JOG)-Jakarta-HLP (HLP),2677,235838,440740,50727,,"53,5%"
38,Surabaya (SUB)-Samarinda (AAP),1778,220999,318042,202254,6021,"69,5%"
39,Makassar (UPG)-Ambon (AMQ),1696,216419,337454,1772306,134696,"64,1%"
40,Jakarta (CGK)-Tanjung Pandan (TJQ),2643,211445,426781,2635279,22167,"49,5%"
41,Medan (KNO)-Jakarta-HLP (HLP),2169,208025,359670,2844432,10599,"57,8%"
42,Jakarta (CGK)-Palangkaraya (PKY),2271,204823,395615,5131284,78902,"51,8%"
43,Balikpapan (BPN)-Tanjung Redeb (BEJ),2965,200366,304911,1166636,16213,"65,7%"
44,Makassar (UPG)-Palu (PLW),1854,198172,328906,2823317,102553,"60,3%"
45,Padang Pariaman (PDG)-Batam (BTH),1462,196269,289424,540166,896,"67,8%"
46,Makassar (UPG)-Jayapura (DJJ),1567,194319,285337,1647111,105154,"68,1%"
47,Makassar (UPG)-Denpasar (DPS),1802,193203,337707,1371338,45284,"57,2%"
48,Jakarta (CGK)-Samarinda (AAP),1980,185676,323748,411880,5406,"57,4%"
49,Makassar (UPG)-Ternate (TTE),1446,182962,243876,1870229,14506,"75,0%"
50,Palembang (PLM)-Jakarta-HLP (HLP),1802,182627,300060,438455,388,"60,9%"
51,Makassar (UPG)-Sorong (SOQ),1722,180422,279695,1828990,42048,"64,5%"
52,Makassar (UPG)-Gorontalo (GTO),1641,169643,290651,2242518,33732,"58,4%"
53,Medan (KNO)-Banda Aceh (BTJ),1300,153385,258506,788452,9835,"59,3%"
54,Jakarta (CGK)-Banda Aceh (BTJ),1727,150467,296316,3753185,65751,"50,8%"
55,Malang (MLG)-Jakarta-HLP (HLP),1595,147444,267420,51093,91,"55,1%"
56,Yogyakarta (YIA)-Balikpapan (BPN),1318,144689,243498,1021913,1028,"59,4%"
57,Sorong (SOQ)-Manokwari (MKW),1286,143270,202701,1174131,992,"70,7%"
58,Surabaya (SUB)-Palangkaraya (PKY),1007,142995,211429,1065163,3858,"67,6%"
59,Pekanbaru (PKU)-Medan (KNO),1142,138355,227016,183362,445,"60,9%"
60,Medan (KNO)-Gunung Sitoli (GNS),3089,137156,230074,324846,,"59,6%"
61,Padang Pariaman (PDG)-Jakarta-HLP (HLP),1379,137069,230556,1561072,1095,"59,5%"
62,Yogyakarta (YIA)-Makassar (UPG),1362,134387,254000,1467582,232,"52,9%"
63,Semarang (SRG)-Jakarta-HLP (HLP),1359,130317,229914,448744,412,"56,7%"
64,Jakarta (CGK)-Malang (MLG),1356,130133,235424,200143,524,"55,3%"
65,Semarang (SRG)-Banjarmasin (BDJ),1218,130068,239845,514584,410,"54,2%"
66,Surabaya (SUB)-Pontianak (PNK),1079,127165,199188,723442,9894,"63,8%"
67,Makassar (UPG)-Manokwari (MKW),1100,124847,192487,1055863,18061,"64,9%"
68,Timika (TIM)-Jayapura (DJJ),1145,120392,192361,1677133,88316,"62,6%"
69,Makassar (UPG)-Timika (TIM),1145,120103,193477,1181685,66138,"62,1%"
70,Pontianak (PNK)-Ketapang (KTG),2562,119265,184282,104377,,"64,7%"
71,Jakarta-HLP (HLP)-Denpasar (DPS),1371,118371,242772,801245,213,"48,8%"
72,Palembang (PLM)-Batam (BTH),1145,118270,213441,578543,201,"55,4%"
73,Labuhan Bajo (LBJ)-Denpasar (DPS),1731,114812,225134,172895,503,"51,0%"
74,Yogyakarta (JOG)-Denpasar (DPS),1029,114164,182283,170813,1900,"62,6%"
75,Wamena (WMX)-Jayapura (DJJ),11477,112182,162236,81469464,,"69,1%"
76,Balikpapan (BPN)-Banjarmasin (BDJ),1817,111234,181318,218469,7475,"61,3%"
