NO,RUTE,JUMLAH PENERBANGAN,JUMLAH PENUMPANG,KAPASITAS SEAT,JUMLAH BARANG,JUMLAH POS,L/F
1,Jakarta (CGK)-SINGAPURA (SIN),8032,618117.0,1266002.0,58849280.0,200832.0,"48,8%"
2,Jakarta (CGK)-Kuala Lumpur (KUL),4794,510306.0,930797.0,9005311.0,202286.0,"54,8%"
3,SINGAPURA (SIN)-Denpasar (DPS),2853,430904.0,660601.0,1964399.0,35412.0,"65,2%"
4,Kuala Lumpur (KUL)-Denpasar (DPS),2696,367601.0,524874.0,311927.0,,"70,0%"
5,Jakarta (CGK)-Jeddah (JED),891,233867.0,356352.0,3196499.0,38525.0,"65,6%"
6,Perth (PER)-Denpasar (DPS),1636,212160.0,295564.0,90751.0,102.0,"71,8%"
7,Melbourne (MEL)-Denpasar (DPS),1261,190423.0,336365.0,1933827.0,44576.0,"56,6%"
8,Sydney (SYD)-Denpasar (DPS),908,167965.0,219790.0,2189067.0,21821.0,"76,4%"
9,Denpasar (DPS)-Doha (DOH),608,154630.0,204649.0,2574348.0,396505.0,"75,6%"
10,Jakarta (CGK)-Dubai (DXB),752,153952.0,259464.0,11003627.0,474710.0,"59,3%"
11,Kuala Lumpur (KUL)-Medan (KNO),1368,153852.0,244540.0,509707.0,436.0,"62,9%"
12,Surabaya (SUB)-Kuala Lumpur (KUL),1494,146705.0,263260.0,829761.0,,"55,7%"
13,Jakarta (CGK)-Incheon (ICN),1423,135600.0,329658.0,22368010.0,522443.0,"41,1%"
14,Surabaya (SUB)-SINGAPURA (SIN),1276,129661.0,252512.0,6341673.0,40.0,"51,3%"
15,Jakarta (CGK)-Doha (DOH),1155,129366.0,315655.0,12742045.0,102975.0,"41,0%"
16,Jakarta (CGK)-Hongkong (HKG),1661,126154.0,378128.0,33074569.0,267619.0,"33,4%"
17,Jakarta (CGK)-Taipei (TPE),1760,123083.0,403894.0,35355844.0,355503.0,"30,5%"
18,Penang (PEN)-Medan (KNO),1055,115762.0,195045.0,621380.0,280.0,"59,4%"
19,Jakarta (CGK)-Narita (NRT),1275,113651.0,275456.0,16295309.0,596380.0,"41,3%"
20,Denpasar (DPS)-Brisbane (BNE),540,101938.0,130378.0,119319.0,,"78,2%"
21,Jakarta (CGK)-Haneda (HND),770,95109.0,206320.0,9003010.0,9963.0,"46,1%"
22,Jakarta (CGK)-Bangkok-Don Mueang (DMK),859,91724.0,164355.0,466953.0,855.0,"55,8%"
23,Jakarta (CGK)-Abu Dhabi (AUH),670,91340.0,198691.0,8702589.0,70501.0,"46,0%"
