NO,RUTE ( PP),JUMLAH PENERBANGAN,JUMLAH PENUMPANG,KAPASITAS SEAT,JUMLAH BARANG (Kg),JUMLAH POS,L/F
1,Jakarta (CGK) - Denpasar (DPS),14974.0,2002789.0,2977867.0,21365798.0,196771.0,"67,3%"
2,Jakarta (CGK) - Makassar (UPG),15789.0,1750282.0,2679920.0,28754522.0,789774.0,"65,3%"
3,Jakarta (CGK) - Medan (KNO),14397.0,1735789.0,2540826.0,26521622.0,335986.0,"68,3%"
4,Jakarta (CGK) - Surabaya (SUB),11535.0,1323419.0,2037845.0,13894309.0,174146.0,"64,9%"
5,Makassar (UPG) - Surabaya (SUB),7056.0,868785.0,1279720.0,9733952.0,151602.0,"67,9%"
6,Jakarta (CGK) - Pontianak (PNK),7133.0,808827.0,1145174.0,16076616.0,103077.0,"70,6%"
7,Jakarta (CGK) - Pekanbaru (PKU),6229.0,728890.0,1062523.0,9975452.0,177603.0,"68,6%"
8,Jakarta (CGK) - Batam (BTH),6464.0,722994.0,1108247.0,12098617.0,123514.0,"65,2%"
9,Jakarta (CGK) - Yogyakarta (YIA),5945.0,698829.0,1032513.0,2856941.0,12867.0,"67,7%"
10,Jakarta (CGK) - Padang Pariaman (PDG),5946.0,687385.0,1024224.0,7818900.0,115310.0,"67,1%"
11,Jakarta (CGK) - Palembang (PLM),5885.0,679869.0,1001555.0,3842744.0,61698.0,"67,9%"
12,Jakarta (CGK) - Balikpapan (BPN),6051.0,667857.0,1064424.0,14619276.0,127488.0,"62,7%"
13,Surabaya (SUB) - Balikpapan (BPN),3893.0,521040.0,722729.0,5247344.0,19966.0,"72,1%"
14,Jakarta (CGK) - Banjarmasin (BDJ),4925.0,513477.0,826150.0,9977244.0,89403.0,"62,2%"
15,Surabaya (SUB) - Denpasar (DPS),4245.0,496382.0,739363.0,939602.0,28005.0,"67,1%"
16,Jakarta (CGK) - Semarang (SRG),4511.0,478362.0,700631.0,4671410.0,19781.0,"68,3%"
17,Makassar (UPG) - Kendari (KDI),3603.0,474162.0,645425.0,2849801.0,51450.0,"73,5%"
18,"Jakarta (CGK) - Praya, Lombok (LOP)",4088.0,470913.0,719827.0,5570648.0,75074.0,"65,4%"
19,Surabaya (SUB) - Banjarmasin (BDJ),3509.0,451037.0,642867.0,5020960.0,5066.0,"70,2%"
20,Jakarta (CGK) - Pangkal Pinang (PGK),3864.0,423592.0,664365.0,6596304.0,53780.0,"63,8%"
21,Jakarta (CGK) - Jambi (DJB),3626.0,414903.0,610439.0,3493593.0,110249.0,"68,0%"
22,Medan (KNO) - Batam (BTH),2821.0,393038.0,534830.0,2281292.0,3902.0,"73,5%"
23,Jakarta (CGK) - Bandar Lampung (TKG),3418.0,390744.0,570450.0,969298.0,7335.0,"68,5%"
24,Jakarta (CGK) - Manado (MDC),3280.0,352195.0,532784.0,4780043.0,183206.0,"66,1%"
25,"Surabaya (SUB) - Praya, Lombok (LOP)",2253.0,314104.0,428583.0,1803259.0,10093.0,"73,3%"
26,Makassar (UPG) - Balikpapan (BPN),2318.0,310858.0,426765.0,1235555.0,1328.0,"72,8%"
27,Makassar (UPG) - Manado (MDC),2181.0,281791.0,417045.0,1927648.0,6863.0,"67,6%"
28,Makassar (UPG) - Jayapura (DJJ),2375.0,276767.0,419007.0,1515213.0,67067.0,"66,1%"
29,Jakarta (CGK) - Bengkulu (BKS),2327.0,276352.0,397332.0,1125155.0,3694.0,"69,6%"
30,Surabaya (SUB) - Kupang (KOE),2158.0,274773.0,403403.0,3231540.0,12541.0,"68,1%"
31,Jakarta (CGK) - Solo (SOC),2363.0,262979.0,416740.0,1549484.0,10528.0,"63,1%"
32,Tarakan (TRK) - Balikpapan (BPN),2155.0,262834.0,341554.0,5023639.0,3323.0,"77,0%"
33,Surabaya (SUB) - Batam (BTH),1825.0,252369.0,352984.0,3562847.0,7028.0,"71,5%"
34,Medan (KNO) - Jakarta-HLP (HLP),2158.0,245854.0,344306.0,2746149.0,30989.0,"71,4%"
35,Yogyakarta (YIA) - Balikpapan (BPN),1731.0,236978.0,314957.0,1239420.0,1032.0,"75,2%"
36,Makassar (UPG) - Sorong (SOQ),1910.0,233427.0,332755.0,3050146.0,105810.0,"70,1%"
37,Timika (TIM) - Jayapura (DJJ),2088.0,230872.0,365308.0,1955363.0,19311.0,"63,2%"
38,Makassar (UPG) - Ambon (AMQ),1943.0,229884.0,373381.0,1627866.0,6455.0,"61,6%"
39,Pekanbaru (PKU) - Batam (BTH),1893.0,227947.0,338063.0,631901.0,147.0,"67,4%"
40,Makassar (UPG) - Denpasar (DPS),1683.0,225336.0,318608.0,1075721.0,7293.0,"70,7%"
