NO,RUTE ( PP),Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,TOTAL 2022
1.0,CGK-SIN,35.788,35.429,58.523,120.926,160.582,154.205,166.84,166.103,180.045,194.606,206.29,226.098,1705435.0
2.0,SIN-DPS,,2.733,22.297,62.075,91.003,110.906,125.957,140.615,148.569,144.273,160.794,196.516,1205738.0
3.0,CGK-KUL,15.762,15.652,26.305,49.1,68.616,58.732,82.705,90.485,98.926,99.926,95.699,114.766,816.674
4.0,CGK-JED,3.854,8.307,24.008,35.877,70.855,57.809,39.125,62.851,88.762,97.856,67.26,80.617,637.181
5.0,KUL-DPS,,,2.532,4.823,19.549,39.758,69.633,80.899,87.59,92.334,59.866,84.414,541.398
6.0,MEL-DPS,,,2.982,11.645,25.851,41.122,66.191,68.061,67.116,70.618,58.733,63.093,475.412
7.0,CGK-DOH,22.697,23.387,28.616,26.136,43.449,45.699,46.028,45.993,47.187,49.16,35.685,35.108,449.145
8.0,CGK-DXB,20.98,18.217,34.807,28.611,35.945,42.553,40.035,39.175,41.873,45.043,42.942,40.837,431.018
9.0,PER-DPS,,,,6.608,11.737,24.337,39.082,38.365,42.232,47.808,53.069,54.279,317.517
10.0,KUL-KNO,,,,2.822,18.599,20.756,28.503,42.365,38.541,47.076,46.831,65.949,311.442
11.0,SUB-SIN,,,1.445,17.173,26.272,26.736,26.4,27.974,33.649,39.026,42.247,49.017,289.939
12.0,SYD-DPS,,,343.0,9.476,17.551,29.743,38.028,33.831,41.131,38.794,35.676,40.473,285.046
13.0,CGK-NRT,8.343,4.881,10.546,19.083,22.991,27.644,29.024,28.622,28.81,28.83,24.617,31.388,264.779
14.0,PEN-KNO,,,,1.165,10.539,19.82,26.009,33.623,37.35,39.249,38.726,50.188,256.669
15.0,CGK-ICN,7.273,6.924,8.256,13.407,16.993,22.453,26.689,26.834,25.97,29.825,27.1,32.502,244.226
