NO,RUTE,JUMLAH PENERBANGAN,JUMLAH PENUMPANG,KAPASITAS SEAT,JUMLAH BARANG,JUMLAH POS,L/F
1,CGK-DPS,33262.0,4961724.0,6154776.0,17882030.0,16693.0,80.6%
2,CGK-KNO,22046.0,3414822.0,4022289.0,32054921.0,93233.0,84.9%
3,CGK-SUB,21360.0,3065045.0,3749614.0,13541673.0,89647.0,81.7%
4,CGK-UPG,17999.0,2636673.0,3222639.0,29036098.0,103666.0,81.8%
5,CGK-BPN,11064.0,1628679.0,1975598.0,14139843.0,8984.0,82.4%
6,CGK-PNK,10619.0,1615481.0,1904340.0,13624116.0,16685.0,84.8%
7,CGK-PLM,10323.0,1534343.0,1816503.0,3233851.0,15274.0,84.5%
8,CGK-PDG,10002.0,1495858.0,1810026.0,7618347.0,17088.0,82.6%
9,CGK-YIA,10635.0,1476684.0,1840772.0,2954273.0,4840.0,80.2%
10,UPG-SUB,9042.0,1407179.0,1727267.0,9574765.0,43339.0,81.5%
11,CGK-PKU,9671.0,1401445.0,1702993.0,12225189.0,5908.0,82.3%
12,CGK-BTH,9169.0,1360876.0,1649797.0,15688188.0,30241.0,82.5%
13,SUB-DPS,8155.0,1350740.0,1541131.0,994050.0,51100.0,87.6%
14,CGK-BDJ,8131.0,1179487.0,1460390.0,11024534.0,25949.0,80.8%
15,SUB-BPN,7043.0,1043796.0,1313260.0,4256200.0,22078.0,79.5%
16,CGK-SRG,7434.0,1031751.0,1233226.0,2713923.0,797.0,83.7%
17,SUB-BDJ,6400.0,962226.0,1210064.0,5936865.0,13168.0,79.5%
18,CGK-DJB,6407.0,958417.0,1157506.0,3397501.0,3781.0,82.8%
19,CGK-PGK,5960.0,898456.0,1073928.0,7459791.0,14708.0,83.7%
20,CGK-LOP,6212.0,895052.0,1103673.0,7315881.0,1825.0,81.1%
21,CGK-TKG,5367.0,858646.0,997278.0,1059406.0,6377.0,86.1%
22,SUB-HLP,6271.0,852695.0,1034334.0,942711.0,,82.4%
23,UPG-KDI,4707.0,741887.0,917856.0,3714671.0,3489.0,80.8%
24,SUB-LOP,3927.0,695979.0,782365.0,4308675.0,15070.0,89.0%
25,CGK-SOC,4461.0,623254.0,786121.0,2455000.0,9096.0,79.3%
26,KNO-BTH,3539.0,612911.0,712082.0,3084180.0,11813.0,86.1%
27,CGK-BKS,3620.0,557593.0,708804.0,1571217.0,4709.0,78.7%
28,CGK-MDC,4258.0,552702.0,699226.0,5679542.0,,79.0%
29,UPG-DPS,3539.0,506414.0,683479.0,2677904.0,2634.0,74.1%
30,UPG-BPN,2948.0,483135.0,571525.0,1684316.0,4427.0,84.5%
31,SUB-KOE,3184.0,468670.0,604011.0,3189535.0,20354.0,77.6%
32,CGK-PKY,3050.0,444489.0,549974.0,4657397.0,3103.0,80.8%
33,LBJ-DPS,3267.0,443917.0,544232.0,313171.0,,81.6%
34,CGK-TJQ,3125.0,442786.0,538194.0,4148478.0,458.0,82.3%
35,PLM-HLP,3162.0,440543.0,519114.0,543220.0,,84.9%
36,YIA-DPS,2816.0,437967.0,551704.0,213998.0,6.0,79.4%
37,UPG-SOQ,2780.0,403380.0,511253.0,1966627.0,1998.0,78.9%
38,HLP-DPS,3145.0,401982.0,513174.0,616444.0,,78.3%
39,YIA-BPN,2587.0,400541.0,473777.0,2135947.0,856.0,84.5%
40,UPG-TTE,2582.0,385010.0,482616.0,2086667.0,736.0,79.8%
41,DPS-BDO,2625.0,384932.0,472500.0,1801303.0,1803.0,81.5%
42,UPG-PLW,2612.0,382631.0,515838.0,2330947.0,781.0,74.2%
43,SUB-BTH,2172.0,370822.0,438448.0,3293842.0,24354.0,84.6%
44,UPG-MDC,2222.0,363682.0,445330.0,1913491.0,12334.0,81.7%
45,YIA-UPG,2369.0,363257.0,491041.0,1971023.0,417.0,74.0%
46,TRK-BPN,2350.0,362843.0,423000.0,2794748.0,838.0,85.8%
47,SUB-PNK,2150.0,351166.0,399780.0,1894710.0,4504.0,87.8%
48,CGK-DTB,2403.0,343129.0,398330.0,2994803.0,,86.1%
49,PKU-BTH,2469.0,341050.0,388015.0,437047.0,5821.0,87.9%
50,PDG-BTH,1980.0,328751.0,401340.0,314226.0,1420.0,81.9%
51,CGK-KDI,2363.0,322092.0,395178.0,2916979.0,,81.5%
52,PLM-BTH,2049.0,314315.0,414900.0,584633.0,479.0,75.8%
