NO,RUTE PP,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,TOTAL 2024
1,CGK-SIN,295204,255013,276771,267834,263316,264765,285735.0,265211,261443,264751,272151.0,358984,3331178
2,DPS-SIN,186458,203954,210441,228754,249154,245584,254949.0,261773,245600,236860,198567.0,220187,2742281
3,CGK-KUL,227271,180186,164028,215494,225613,236839,264030.0,237788,238090,234147,231721.0,247834,2703041
4,DPS-KUL,117617,138373,125967,138060,165753,178852,194682.0,172390,155968,144194,128753.0,136170,1796779
5,CGK-JED,107270,86689,87019,80698,50231,43363,75460.0,137857,128255,117278,115486.0,114170,1143776
6,DPS-PER,83718,72550,77013,75863,82879,93022,98676.0,97265,96066,99902,86713.0,88725,1052392
7,DPS-MEL,76902,65118,71874,76543,84715,87688,98883.0,96124,93763,92848,80734.0,91210,1016402
8,KNO-KUL,77076,85630,59397,88009,78773,90504,88797.0,76867,83423,76314,76044.0,83453,964287
9,DPS-SYD,76323,58670,64974,68686,72409,74238,82590.0,82859,80793,82671,72773.0,74502,891488
10,KUL-SUB,68722,71408,70044,72950,69438,54224,66390.0,79261,69018,60432,65595.0,66729,814211
11,CGK-DOH,57314,52215,46665,66706,70787,69863,74465.0,75399,54651,54980,41858.0,49493,714396
12,SIN-SUB,61619,52194,53566,61524,59865,58306,64215.0,61012,52655,59204,59812.0,64787,708759
13,DOH-DPS,54350,53864,56500,60921,62989,61813,62001.0,62694,67566,67514,47341.0,44658,702211
14,DPS-DXB,45853,42712,47744,51852,53369,58328,58828.0,59505,63144,67658,44246.0,85059,678298
15,CGK-HKG,40648,42729,50198,54949,53316,53133,53570.0,56638,54978,56000,58095.0,69799,644053
16,KNO-PEN,52660,48860,47793,58514,52915,56001,58872.0,49213,52115,50906,48155.0,60833,636837
17,CGK-DMK,49594,48143,45564,45146,48036,49314,51392.0,49713,48501,47544,49597.0,52191,584735
18,CGK-ICN,36923,33995,31766,37852,39263,37403,40435.0,41018,37605,42658,40929.0,45108,464955
19,BNE-DPS,36807,35698,36830,34060,35623,38401,43278.0,39264,37662,39990,35982.0,42199,455794
20,CGK-DXB,35527,20549,29196,35216,40489,38525,43893.0,42276,43758,43208,39750.0,41877,454264
21,BKK-CGK,30221,32042,32451,35117,35078,39532,42483.0,43037,39993,33910,39371.0,38503,441738
22,DPS-ICN,29540,29440,25574,29782,31203,33065,38206.0,41586,38663,40426,45654.0,53594,436733
23,KUL-PKU,37717,38174,23175,32730,31355,30553,35318.0,37931,35542,33843,35079.0,38237,409654
24,DPS-HKG,31266,30196,29703,29300,31147,31440,37075.0,41518,40302,32917,26828.0,35854,397546
25,DPS-TPE,27728,31443,28907,32827,36591,35984,36192.0,36940,35995,34026,28741.0,27242,392616
26,CGK-HND,26792,24542,26847,30326,30123,30948,30490.0,31829,35237,38011,40227.0,42087,387459
27,CGK-TPE,30640,28501,29898,38222,30311,33189,33498.0,32785,31939,28813,28358.0,35655,381809
28,CGK-PEN,30533,26774,31654,29839,30545,32490,33973.0,30956,31569,32144,31301.0,33865,375643
29,CAN-CGK,21521,23893,28904,29885,34331,32628,34012.0,35164,34374,33432,33565.0,33575,375284
30,KUL-PDG,30940,32912,19453,32945,8949,31834,37946.0,32840,34305,37576,33571.0,38585,371856
31,DPS-SGN,22531,31336,25621,27923,28207,30118,31421.0,31750,28035,24822,20961.0,26391,329116
32,AUH-CGK,30497,29268,29616,30808,30782,25969,25035.0,30469,24180,25003,23568.0,23916,329111
33,DMK-DPS,32012,26728,24163,23773,25074,25600,26939.0,31716,29440,26431,22324.0,24071,318271
34,DPS-MNL,24779,24091,22120,23948,26454,27361,28118.0,29391,24405,23836,23233.0,24673,302409
35,CGK-NRT,25326,25446,24977,23535,23498,22942,22156.0,21875,22625,26008,29410.0,32358,300156
36,DPS-PVG,15686,25636,20020,24208,24241,24206,25248.0,25161,24070,24942,24781.0,24898,283097
