propinsi_code,propinsi_name,airport_code,airport_name,year,pesawat_dtg,pesawat_brk,pesawat_total,penumpang_dtg,penumpang_brk,penumpang_total,penumpang_tra,bagasi_dtg,bagasi_brk,bagasi_total,barang_dtg,barang_brk,barang_total,pos_dtg,pos_brk,pos_total,keterangan
35,PAPUA,B,FRANS KAISIEPO - BIAK (INT),2020,35,34,69,167,121,288,535,2.681,1.621,4.302,0,0,0,0,0,0,Data 12 Bln
35,PAPUA,B,FRANS KAISIEPO - BIAK (INT),2021,63,60,123,19,23,42,1.315,80,105,185,0,0,0,0,0,0,Data 12 Bln
35,PAPUA,B,FRANS KAISIEPO - BIAK (INT),2022,47,48,95,0,12,12,0,0,0,0,0,0,0,0,0,0,Data 12 Bln
35,PAPUA,B,FRANS KAISIEPO - BIAK (INT),2023,15,13,28,7,46,53,7,105,593,698,-,-,-,-,-,-,Data 12 Bln
35,PAPUA,B,FRANS KAISIEPO - BIAK (INT),2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Data 12 Bln
35,PAPUA,C,SENTANI - JAYAPURA (DOM),2020,20.839,20.844,41.683,381.748,409.095,790.843,48.461,2.659.934,2.839.694,5.499.628,7.067.799,118.220.652,125.288.451,0,0,0,Data 12 Bln
35,PAPUA,C,SENTANI - JAYAPURA (DOM),2021,21.742,21.746,43.488,646.943,660.254,1.307.197,0,92.209,5.727.180,5.534.322,9.518.202,101.325.272,110.843.474,0,0,0,Data 12 Bln
35,PAPUA,C,SENTANI - JAYAPURA (DOM),2022,25.645,25.696,51.341,862.760,689.656,1.552.416,174.814,7.722.851,7.432.090,15.154.941,10.569.568,123.664.999,134.234.567,0,0,0,Data 12 Bln
35,PAPUA,C,SENTANI - JAYAPURA (DOM),2023,22.811,22.880,45.691,852.648,728.926,1.581.574,146.005,7.294.057,6.936.748,14.230.805,9.451.645,120.835.991,130.287.636,0,131,131,Data 12 Bln
35,PAPUA,C,SENTANI - JAYAPURA (DOM),2024,22.642,22.662,45.304,935.645,938.271,1.873.916,65.778,8.567.569,8.234.761,16.802.330,12.380.798,114.430.573,126.811.371,348,54.597,54.945,Data 12 Bln
35,PAPUA,C,SENTANI - JAYAPURA (INT),2020,10,9,19,0,0,0,0,0,0,0,0,0,0,0,0,0,Data 12 Bln
35,PAPUA,C,SENTANI - JAYAPURA (INT),2021,62,64,126,0,0,0,0,0,0,0,0,0,0,0,0,0,Data 12 Bln
35,PAPUA,C,SENTANI - JAYAPURA (INT),2022,142,138,280,26,18,44,0,0,0,0,0,1.225,1.225,0,0,0,Data 12 Bln
