NO,BADAN USAHA,2018,2019,2020,2021,2022,2023,2024
1,PT. Asi Pudjiastuti,"61,07%","54,52%","28,90%","35,32%","39,92%","56,77%","47,03%"
2,PT. Batik Indonesia Air,"88,78%","88,72%","87,32%","84,75%","82,03%","74,89%","74,62%"
3,PT. Citilink Indonesia,"86,19%","92,41%","90,73%","65,90%","69,69%","86,12%","91,27%"
4,PT. Garuda Indonesia,"88,80%","91,38%","94,11%","92,80%","88,08%","87,78%","83,47%"
5,PT. Indonesia Airasia,"82,03%","85,26%","84,95%","75,34%","64,89%","65,71%","91,07%"
6,PT. Lion Mentari Airlines,"67,14%","77,90%","74,73%","75,48%","75,53%","65,43%","68,71%"
7,PT. Nam Air,"88,76%","81,42%","83,74%","77,74%","69,85%","72,11%","74,61%"
8,PT. Sriwijaya Air,"84,61%","82,76%","83,23%","72,38%","74,27%","79,67%","84,01%"
9,PT. Transnusa Aviation Mandiri,"91,81%","82,51%","77,94%",-,"47,58%","50,48%","67,43%"
10,PT. Trigana Air Service,"52,78%","65,49%","50,67%","45,63%","46,34%","72,57%","86,36%"
11,PT. Wings Abadi Airlines,"65,39%","71,88%","71,29%","73,76%","76,05%","68,15%","72,74%"
12,PT. Super Air Jet,-,-,-,"84,18%","80,08%","71,02%","63,22%"
13,PT. Pelita Air Indonesia,-,-,-,-,"95,59%","90,30%","94,33%"
14,PT. BBN Airlines Indonesia,-,-,-,-,-,-,"90,14%"
-,Total/Rata-rata,"78,60%","82,57%","81,76%","75,31%","76,02%","73,99%","76,80%"
