NO,NAMA BADAN USAHA,JENIS KEGIATAN
1,PT. ASI PUDJIASTUTI AVIATION,Penumpang
2,PT. BATIK AIR INDONESIA,Penumpang
3,PT. CITILINK INDONESIA,Penumpang
4,PT. GARUDA INDONESIA (Persero) Tbk,Penumpang
5,PT. INDONESIA AIRASIA,Penumpang
6,PT. LION MENTARI AIRLINES,Penumpang
7,PT. NAM AIR,Penumpang
8,PT. SRIWIJAYA AIR,Penumpang
9,PT. TRANSNUSA AVIATION MANDIRI,Penumpang
10,PT. CARDIG AIR,Cargo
11,PT. MY INDO AIRLINES,Cargo
12,PT. TRI-M.G. INTRA ASIA AIRLINES,Cargo
13,PT. TRAVEL EXPRESS AVIATION SERVICES,Penumpang
14,PT. TRIGANA AIR SERVICE,Penumpang
15,PT. WINGS ABADI,Penumpang
