NO,NAMA PERUSAHAAN,JENIS KEGIATAN
1,AIR ASIA BERHARD,Penumpang
2,AIR ASIA X BERHARD,Penumpang
3,AIR CHINA,Penumpang
4,AIR NEW ZEALAND,Penumpang
5,ALL NIPPON AIRLINES,Penumpang
6,ASIANA AIRLINES,Penumpang
7,CATHAY PACIFIC,Penumpang & Cargo
8,CEBU PACIFIC,Penumpang
9,CHINA AIRLINES,Penumpang & Cargo
10,CHINA EASTERN,Penumpang
11,CHINA SOUTHERN,Penumpang
12,EMIRATE,Penumpang
13,ETHIOPIAN AIRLINES,Penumpang
14,ETIHAD AIRWAYS,Penumpang
15,EVA AIR,Penumpang
16,FEDERAL EXPRESS,Cargo
17,FIRE FLY,Penumpang
18,CARGOLUX AIRLINES INT,Cargo
19,HONGKONG AIRLINES,Penumpang
20,HONGKONG DRAGON,Penumpang
21,JAPAN AIRLINES,Penumpang
22,JETSTAR AIRWAYS,Penumpang
23,JETSTAR ASIA AIRWAYS,Penumpang
24,KLM ROYAL DUTCH,Penumpang
25,K-MILE,Cargo
26,KOREAN AIRLINES,Penumpang & Cargo
27,MALAYSIA AIRLINES,Penumpang
28,MALINDO AIR,Penumpang
29,MASWINGS,Penumpang
30,OMAN AIR,Penumpang
31,PHILIPPINE AIR ASIA,Penumpang
32,PHILIPPINE AIRLINES,Penumpang
33,QANTAS AIRWAYS,Penumpang
34,QATAR AIRWAYS,Penumpang
35,RAYA AIRWAYS,Cargo
36,ROSSIYA AIRLINES,Penumpang
37,ROYAL BRUNEI AIRLINES,Penumpang
38,SAUDI ARABIAN AIRLINES,Penumpang
39,SCOOT TIGER PTE LTD,Penumpang
40,SHENZHEN AIRLINES,Penumpang
41,SILK AIR,Penumpang
42,SINGAPORE AIRLINE,Penumpang
43,SRILANKAN AIRLINES,Penumpang
44,THAI AIR ASIA,Penumpang
45,THAI AIRWAYS INTL,Penumpang
46,THAI LION AIR,Penumpang
47,TURKISH AIRLINES,Penumpang
48,UZBEKISTAN AIRWAYS,Penumpang
49,VIETJET AIR,Penumpang
50,VIETNAM AIRLINES,Penumpang
51,VIRGIN AUSTRALIA INTL AIRLINES,Penumpang
52,XIAMEN AIRLINES,Penumpang
