NO,NAMA BADAN USAHA
1,MERPATI TRAINING CENTER
2,PERKUMPULAN PENERBANG INDONESIA
3,PT. SINAR MAS SUPER AIR
4,PERKUMPULAN PENERBANGAN ALFA INDONESIA
5,MISSION AVIATION FELLOWSHIP (MAF)
6,YAYASAN PELAYANAN PENERBANGAN TARIKU (YPPT)
7,YAYASAN AVIASI NUSANTARA
8,YAYASAN HELIVIDA
9,PT. ALFA FLYING SCHOOL
10,POLITEKNIK PENERBANGAN INDONESIA CURUG
11,PT. GENESA DIRGANTARA
12,YAYASAN JASA AVIASI INDONESIA
13,ADVENTIST AVIATION INDONESIA
14,PT. NATIONAL AVIATION MANAGEMENT
15,PT. AIR TRANSPORT SERVICES
16,AKADEMI PENERBANG INDONESIA BANYUWANGI (BALAI PENDIDIKAN DAN PELATIHAN BANYUWANGI)
17,PT. AERO FLYER INSTITUTE
18,PT. BALI WIDYA DIRGANTARA
19,PT. AVIASI SOLUSI PRIMA
20,PT. DERAYA
21,PT. NUSA FLYING INTERNATIONAL
22,PT. BANDUNG INTERNASIONAL AVIATION
23,PT. SADHANA
24,PT. DIRGANTARA AVIATION ENGINEERING
25,PT. MITRA AVIASI PERKASA
26,PT. LOMBOK INSTITUTE OF FLIGHT TECHNOLOGY
27,PT. AGRONUSA DIRGANTARA
28,PT. GLOBAL AVIASI
29,PT. ANGKASA SUPER SERVICES
30,PT. DIRGANTARA INDONESIA (PERSERO)
31,PT. PROFLIGHT INDONESIA
32,BALAI BESAR TEKNOLOGI MODIFIKASI CUACA BADAN PENGKAJIAN DAN PENERAPAN TEKNOLOGI (BB-TMC BPPT)
