NO,NAMA PERUSAHAAN,NEGARA,JENIS KEGIATAN
1,AIR ASIA BERHARD,MALAYSIA,Penumpang
2,AIR ASIA X BERHARD**,MALAYSIA,Penumpang
3,AIR CHINA,CHINA,Penumpang
4,AIR NEW ZEALAND,SELANDIA BARU,Penumpang
5,ALL NIPPON AIRLINES,JEPANG,Penumpang
6,ASIANA AIRLINES,KOREA SELATAN,Penumpang
7,CEBU PACIFIC**,FILIPINA,Penumpang
8,CHINA EASTERN,CHINA,Penumpang
9,CHINA SOUTHERN,CHINA,Penumpang
10,EMIRATES,UAE,Penumpang
11,ETHIOPIAN AIRLINES,ETHIOPIA,Penumpang
12,ETIHAD AIRWAYS,UAE,Penumpang
13,EVA AIR,TAIWAN,Penumpang
14,FIRE FLY,MALAYSIA,Penumpang
15,HONGKONG AIRLINES **,HONGKONG,Penumpang
16,JAPAN AIRLINES,JEPANG,Penumpang
17,JETSTAR AIRWAYS**,AUSTRALIA,Penumpang
18,JETSTAR ASIA AIRWAYS,SINGAPURA,Penumpang
19,KLM ROYAL DUTCH,BELANDA,Penumpang
20,MALAYSIA AIRLINES,MALAYSIA,Penumpang
21,MALINDO AIR,MALAYSIA,Penumpang
22,MASWINGS**,MALAYSIA,Penumpang
23,OMAN AIR **,OMAN,Penumpang
24,PHILIPINE AIR ASIA **,FILIPINA,Penumpang
25,PHILIPINE AIRLINES,FILIPINA,Penumpang
26,QANTAS AIRWAYS**,AUSTRALIA,Penumpang
27,QATAR AIRWAYS,QATAR,Penumpang
28,ROSSIYA AIRLINES **,RUSIA,Penumpang
29,ROYAL BRUNEI AIRLINES,BRUNEI DARUSSALAM,Penumpang
30,SAUDI ARABIAN AIRLINES,ARAB SAUDI,Penumpang
31,SCOOT TIGERAIR PTE LTD,SINGAPURA,Penumpang
32,SINGAPORE AIRLINE,SINGAPURA,Penumpang
33,SRILANKAN AIRLINES,SRILANKA,Penumpang
34,THAI AIR ASIA **,THAILAND,Penumpang
35,THAI AIRWAYS INTL,THAILAND,Penumpang
36,THAI LION AIR,THAILAND,Penumpang
37,TURKISH AIRLINES,TURKI,Penumpang
38,UZBEKISTAN AIRWAYS,UZBEKISTAN,Penumpang
39,VIETJET AIR **,VIETNAM,Penumpang
40,VIETNAM AIRLINES,VIETNAM,Penumpang
41,VIRGIN AUSTRALIA INTL AIRLINES,AUSTRALIA,Penumpang
42,XIAMEN AIRLINES,CHINA,Penumpang
43,CARGOLUX AIRLINES INT,LUXEMBOURG,Cargo
44,K-MILE,THAILAND,Cargo
45,FEDERAL EXPRESS,USA,Cargo
46,RAYA AIRWAYS,MALAYSIA,Cargo
47,CATHAY PACIFIC,HONGKONG,Penumpang & Cargo
48,CHINA AIRLINES,TAIWAN,Penumpang & Cargo
49,KOREAN AIRLINES,KOREA SELATAN,Penumpang & Cargo
