NO,NAMA BADAN USAHA,JENIS KEGIATAN
1,PT. AIR PASIFIK UTAMA,Penumpang
2,PT. AIRFAST INDONESIA,Penumpang
3,PT. ALDA TRANS PAPUA,Penumpang
4,PT. AMA,Penumpang
5,PT. ANGKASA SUPER SERVICE,Penumpang
6,PT. ASIAN ONE AIR,Penumpang
7,PT. DABI AIR,Penumpang
8,PT. DERAZONA AIR SERVICE,Penumpang
9,PT. EAST INDONESIA AIR TAXI AND CHARTER SERVICE (EASTINDO),Penumpang
10,PT. EKSPRES TRANSPORTASI ANTAR BENUA,Penumpang
11,PT. ELANG LINTAS INDONESIA,Penumpang
12,PT. ELANG NUSANTARA AIR,Penumpang
13,PT. ENGGANG AIR SERVICE,Penumpang
14,PT. GATARI AIR SERVICE,Penumpang
15,PT. HEVILIFT AVIATION INDONESIA,Penumpang
16,PT. INDO STAR AVIATION,Penumpang
17,PT. INDONESIA TRANSPORT& INFRASTRUCTURE Tbk.,Penumpang
18,PT. INTAN ANGKASA AIR SERVICE,Penumpang
19,PT. JHONLIN AIR TRANSPORT,Penumpang
20,PT. MATTHEW AIR NUSANTARA,Penumpang
21,PT. NATIONAL UTILITY HELICOPTERS,Penumpang
22,PT. PEGASUS AIR SERVICES,Penumpang
23,PT. PENERBANGAN ANGKASA SEMESTA,Penumpang
24,PT. PURA WISATA BARUNA,Penumpang
25,PT. SAYAP GARUDA INDAH,Penumpang
26,PT. SMART CAKRAWALA AVIATION,Penumpang
27,PT. SPIRIT AVIA SENTOSA,Penumpang
28,PT. SURYA AIR,Penumpang
29,PT. TRANSWISATA PRIMA AVIATION,Penumpang
30,PT. TRAVIRA AIR,Penumpang
31,PT. TRI-MG INTRA ASIA AIRLINES,Penumpang
32,PT. WESTSTAR AVIATION,Penumpang
33,PT. WHITESKY AVIATION,Penumpang
34,PT. ALTIUS BAHARI INDONESIA,Penumpang
35,PT. ASI PUDJIASTUTI AVIATION,Penumpang & Cargo
36,PT. CARPEDIEM AVIATION MANDIRI,Penumpang & Cargo
37,PT. ERSA EASTERN AVIATION,Penumpang dan kargo
38,PT. GARUDA INDONESIA (PERSERO) Tbk,Penumpang & Cargo
39,PT. JAYAWIJAYA DIRGANTARA,Penumpang & Cargo
40,PT. KOMALA INDONESIA,Penumpang & Cargo
41,PT. MARTA BUANA ABADI (Dimonim Air),Penumpang & Cargo
42,PT. PELITA AIR SEVICE,Penumpang & Cargo
43,PT. SEMUWA AVIASI MANDIRI,Penumpang & Cargo
44,PT. TRIGANA AIR SERVICE,Penumpang & Cargo
45,PT. RIMBUN ABADI AVIASI,Penumpang & Cargo
46,PT. REVEN GLOBAL AIRTRANSPOR,Penumpang & Cargo
47,PT. WISARADA SAPANTA UTAMA,Penumpang & Cargo
48,PT. VOLTA PASIFIK AVIASI,Penumpang & Cargo
49,PT. JET EKSEKUTIF TRAVYA,Penumpang & Cargo
50,PT. REFFLES GLOBAL ANGKASA,Penumpang & Cargo
51,PT. INDONESIA AIR TRANSPORT,Penumpang & Cargo
52,PT. ZAVERYNA UTAMA,Penumpang & Cargo
53,PT. GENESA DIRGANTARA,Penumpang & Cargo
54,PT. DERAYA,Cargo
