NO,NAMA BADAN USAHA,JENIS KEGIATAN
1,PT. ASI PUDJIASTUTI AVIATION,Penumparig
2,PT. BATIK AIR INDONESIA,Penumpang
3,PT. INDONESIA AIRASIA,Penumpang
4,PT. LION MENTARI AIRLINES,Penumpang
5,PT. NAM AIR,Penumpang
6,PT. SRIWIJAYA AIR,Penumpang
7,PT. WINGS ABADI,Penumpang
8,PT. TRIGANA AIR SERVICE,Penumpang dan Kargo
9,PT. SUPER AIR JET,Penumpang dan Kargo
10,PT. PELITA AIR SERVICE,Penumpang dan Kargo
11,PT. CITILINK INDONESIA,Penumpang dan Kargo
12,PT. GARUDA INDONESIA (Persero) Tbk,Penumpang dan Kargo
13,PT. TRANSNUSA AVIATION MANDIRI,Penumpang dan Kargo
14,PT LINKAVIASI ASIA INDONESIA,Penumpang dan Kargo
15,PT. MY INDO AIRLINES,Kargo
16,PT. CARDIG AIR,Kargo
17,PT. TRI-M.G. INTRA ASIA AIRLINES,Kargo
18,PT RUSKY AERO INDONESIA,Kargo
