NO,NAMA BADAN USAHA,JENIS KEGIATAN
1,PT. AVIATERRA DINAMΙΚΑ,Flying School
2,PT. DIRGANTARA AVIATION ENGINEERING,Fiving School
3,PT. MITRA AVIASI PERKASA,Fiving School
4,PT. GLOBAL AVIASI,Flying School
5,PT. ANGKASA SUPER SERVICES,Fiving School
6,PT. NATIONAL AVIATION MANAGEMENT,Fiving School
7,PT. ALFA FLYING SCHOOL,Flving School
8,PT. AERO FLYER INSTITUTE,Flying School
9,PT. BALI WIDYA DIRGANTARA,Flying School
10,PT. MERPATI TRAINING CENTER,Flying School
11,PT. DERAYA,Flying School
12,PT. NUSA FLYING INTERNATIONAL,Flying School
13,PT. BANDUNG INTERNASIONAL AVIATION,Fiving School
14,AKADEMI PENERBANG INDONESIA,Flying School
15,POLITEKNIK PENERBANGAN INDONESIA CURUG,Flying School
16,PT. PROFLIGHT INDONESIA,Fiving School
17,PT. LOMBOK INSTITUTE OF FLIGHT TECHNOLOGY,Flying School
18,PT. AVIASI SOLUSI PRIMA,Fiving School
19,PT. TRI MG INTRA AIRLINES,Flying School
20,PT. GENESA DIRGANTARA,Fiving School
21,PT.AGRONUSA DIRGANTARA,Penyemprotan perkebunan
22,PT. SINAR MAS SUPER AIR,Penyemprotan Pertanian
23,PERKUMPULAN PENERBANGAN ALFA INDONESIA,Kegiatan Olahraga
24,PT. SINAR PHOENIK ANGKASA PRIMA,Kegiatan Olahraga
25,YAYASAN PUSDIRGA,Kegiatan Olahraga
26,PERKUMPULAN PENERBANGAN INDONESIA,Kegiatan Olahraga
27,BLU BALAI KALIBRASI FASILITAS PENERBANGAN,Mengkalibrasi Pesawat
28,PT. DIRGANTARA INDONESIA (PERSERO),Perakitan Pesawat/Pabrikan
29,KEMENTERIAN LINGKUNGAN HIDUP DAN KEHUTANAN,Patroli Udara
30,BALAI BESAR TEKNOLOGI MODIFIKASI CUACA,Perakiran Cuaca (hujan buatan)
31,YAYASAN JASA AVIASI INDONESIA,Penumpang dan Angkutan Lainnya
32,PT. SADHANA,Mobilitas perusahaan
33,PT. AIR TRANSPORT SERVICES,Mobilitas perusahaan
34,YAYASAN MAF INDONESIA (MISSION AVIATION FELLOWSHIP),Kegiatan Kemanusiaan
35,YAYASAN PELAYANAN PENERBANGAN TARIKU,Kegiatan Kemanusiaan
36,YAYASAN AVIASI NUSANTARA,Kegiatan Kemanusiaan
37,ADVENTIST AVIATION INDONESIA,Kegiatan Kemanusiaan
38,YAYASAN HELIVIDA INDONESIA,Kegiatan Kemanusiaan
39,PT. SPEKTRUM DATA GEOSURVEY,Membawa Alat untuk Foto Udara
40,PT. SURYA AVIASI INTERNASIONAL**,(Data Kosong)
