NO,NAMA BADAN USAHA,JENIS KEGIATAN
1,PT Volta Pasifik Aviasi,"Penumpang dan Kargo, angkutan udara niaga tidak berjadwal lainnya"
2,PT Amarta Aviasi Mandiri,"Penumpang dan Kargo dalam dan luar negeri, angkutan udara niaga tidak berjadwal lainnya"
3,PT Nasional Global Aviasi,"Penumpang dan Kargo dalam negeri, angkutan udara niaga tidak berjadwal lainnya"
4,PT Vast Intra Avia,"Penumpang dan Kargo dalam negeri, angkutan udara niaga tidak berjadwal lainnya"
5,PT Raffles Global Angkasa,"Penumpang dan Kargo, khusus kargo dalam negeri dan luar negeri"
6,PT Airfast Indonesia,Penumpang dan Kargo; khusus kargo
7,PT Zaveryna Utama,Penumpang dan Kargo dalam negeri
8,PT Ikairos Air Service,Penumpang dan Kargo dalam negeri
9,PT Ama,Penumpang dan Kargo
10,PT Dabi Air,Penumpang dan Kargo
11,PT Eastindo Services (East Indonesia Air Taxi An,Penumpang dan Kargo
12,PT Smart Cakrawala Aviation,Penumpang dan Kargo
13,PT Travira Air,Penumpang dan Kargo
14,PT Asi Pudjiastuti Aviation,Penumpang dan Kargo
15,PT Carpediem Aviation Mandiri,Penumpang dan Kargo
16,PT Ersa Eastern Aviation,Penumpang dan Kargo
17,PT Garuda Indonesia (Persero) Tbk,Penumpang dan Kargo
18,PT Jayawijaya Dirgantara,Penumpang dan Kargo
19,PT Komala Indonesia,Penumpang dan Kargo
20,PT Marta Buana Abadi (Dimonim Air),Penumpang dan Kargo
21,PT Pelita Air Sevice,Penumpang dan Kargo
22,PT Semuwa Aviasi Mandiri,Penumpang dan Kargo
23,PT Trigana Air Service,Penumpang dan Kargo
24,PT Rimbun Abadi Aviasi,Penumpang dan Kargo
25,PT Reven Global Airtranspor,Penumpang dan Kargo
26,PT Wisarada Sapanta Utama,Penumpang dan Kargo
27,PT Jet Eksekutif Travya,Penumpang dan Kargo
28,PT Genesa Dirgantara,Penumpang dan Kargo
29,PT Air Pasifik Utama,Penumpang
30,PT Alda Trans Papua,Penumpang
31,PT Angkasa Super Service,Penumpang
32,PT Asian One Air,Penumpang
33,PT Derazona Air Service,Penumpang
34,PT Ekspres Transportasi Antar Benua,Penumpang
35,PT Elang Lintas Indonesia,Penumpang
36,PT Elang Nusantara Air,Penumpang
37,PT Intan Angkasa Air Service,Penumpang
38,PT Jhonlin Air Transport,Penumpang
39,PT Matthew Air Nusantara,Penumpang
40,PT National Utility Helicopters,Penumpang
41,PT Pegasus Air Services,Penumpang
42,PT Penerbangan Angkasa Semesta,Penumpang
43,PT Purawisata Baruna,Penumpang
44,PT Sayap Garuda Indah,Penumpang
45,PT Surya Air,Penumpang
46,PT Transwisata Prima Aviation,Penumpang
47,PT Weststar Aviation,Penumpang
48,PT Whitesky Aviation,Penumpang
49,PT Altius Bahari Indonesia,Penumpang
50,PT Indonesia Air Transport,Penumpang
51,PT Tri - Mg Intra Asia Airlines,Penumpang
52,PT BBN Airlines Indonesia,Kargo dalam dan luar negeri
53,PT Persada Perkasa Airnesia,Kargo dalam dan luar negeri
54,PT Abadi Mega Angkutan Nusantara,Kargo dalam negeri
55,PT Express Cargo Airlines,Kargo dalam negeri
