NO,NAMA PERUSAHAAN
1,PT AERO FLYER INSTITUTE
2,PT AIR TRANSPORT SERVICES
3,PT ALFA FLYING SCHOOL
4,PT ANGKASA SUPER SERVICES
5,PT AGRONUSA DIRGANTARA
6,PT AVIATERRA DINAMΙΚΑ
7,PT AVIASI SOLUSI PRIMA
8,PT BALI WIDYA DIRGANTARA
9,PT BANDUNG INTERNASIONAL AVIATION
10,PT DIRGANTARA AVIATION ENGINEERING
11,PT DIRGANTARA INDONESIA (PERSERO)
12,PT GENESA DIRGANTARA
13,PT GLOBAL AVIASI
14,PT LOMBOK INSTITUTE OF FLIGHT TECHNOLOGY
15,PT MITRA AVIASI PERKASA
16,PT MERPATI TRAINING CENTER
17,PT NATIONAL AVIATION MANAGEMENT
18,PT NUSA FLYING INTERNATIONAL
19,PT PROFLIGHT INDONESIA
20,PT SADHANA
21,PT SINAR MAS SUPER AIR
22,PT SINAR PHOENIX ANGKASA PRIMA
23,PT SPEKTRUM DATA GEOSURVEY
24,PT SURYA AVIASI INTERNASIONAL
25,PT TRI MG INTRA AIRLINES
26,ADVENTIST AVIATION INDONESIA
27,AKADEMI PENERBANG INDONESIA BANYUWANGI (BALAI PENDIDIKAN DAN PELATIHAN PENERBANG BANYUWANGI (BP3 BANYUWANGI)
28,BALAI BESAR TEKNOLOGI MODIFIKASI CUACA BADAN PENGKAJIAN DAN PENERAPAN TEKNOLOGI (BB-TMC BPPT) - BRIN (BADAN RISET DAN INOVASI NASIONAL)
29,BLU BALAI KALIBRASI FASILITAS PENERBANGAN
30,KEMENTERIAN LINGKUNGAN HIDUP DAN KEHUTANAN
31,MISSION AVIATION FELLOWSHIP (MAF)
32,PERKUMPULAN PENERBANGAN INDONESIA
33,PERKUMPULAN PENERBANGAN ALFA INDONESIA
34,POLITEKNIK PENERBANGAN CURUG
35,YAYASAN AVIASI NUSANTARA
36,YAYASAN JASA AVIASI INDONESIA
37,YAYASAN HELIVIDA
38,YAYASAN MISI MASYARAKAT PEDALAMAN
39,YAYASAN PELAYANAN PENERBANGAN TARIKU (YPPT)
40,YAYASAN PUSDIRGA
