NO,NAMA ANGKUTAN UDARA ASING,NEGARA,JENIS KEGIATAN
1,AIRASIA BERHAD,MALAYSIA,Penumpang dan Kargo
2,AIRASIA X BERHAD,MALAYSIA,Penumpang dan Kargo
3,AERO DILI,TIMOR LESTE,Penumpang dan Kargo
4,AIR CHINA LIMITED,MACAU,Penumpang dan Kargo
5,AIR MACAU,JEPANG,Penumpang dan Kargo
6,AIR NEW ZEALAND,NEW ZEALAND,Penumpang dan Kargo
7,ALL NIPPON AIRWAYS,JEPANG,Penumpang dan Kargo
8,ASIANA AIRLINES,KOREA SELATAN,Penumpang dan Kargo
9,CATHAY PACIFIC AIRWAYS,HONGKONG,Penumpang dan Kargo
10,CEBU PACIFIC AIRLINES,FILIPINA,Penumpang dan Kargo
11,CHINA AIRLINES LIMITED,REPUBLIK TIONGKOK (ROC),Penumpang dan Kargo
12,CHINA EASTERN AIRLINES,REPUBLIK RAKYAT TIONGKOK,Penumpang dan Kargo
13,CHINA SOUTHERN AIRLINES,REPUBLIK RAKYAT TIONGKOK,Penumpang dan Kargo
14,EGYPT AIR,MESIR,Penumpang dan Kargo
15,EMIRATES,UNI EMIRAT ARAB,Penumpang dan Kargo
16,ETHIOPIAN AIRLINES,ETHIOPIA,Penumpang dan Kargo
17,ETIHAD AIRWAYS,UNI EMIRAT ARAB,Penumpang dan Kargo
18,EVA AIR,REPUBLIK TIONGKOK (ROC),Penumpang dan Kargo
19,FLY FIREFLY,MALAYSIA,Penumpang dan Kargo
20,HONGKONG AIRLINES,HONGKONG,Penumpang dan Kargo
21,INTERGLOBE AVIATION (INDIGO),INDIA,Penumpang dan Kargo
22,JAPAN AIRLINES,JEPANG,Penumpang dan Kargo
23,JETSTAR AIRWAYS,AUSTRALIA,Penumpang dan Kargo
24,JETSTAR ASIA AIRWAYS,SINGAPURA,Penumpang dan Kargo
25,JUNEYAO AIRLINES,REPUBLIK RAKYAT TIONGKOK,Penumpang dan Kargo
26,KLM ROYAL DUTCH AIRLINES,BELANDA,Penumpang dan Kargo
27,KOREAN AIR,KOREA SELATAN,Penumpang dan Kargo
28,MALAYSIA AIRLINES BERHAD,MALAYSIA,Penumpang dan Kargo
29,MALINDO AIR,MALAYSIA,Penumpang dan Kargo
30,ΟΜΑΝ AIR,OMAN,Penumpang dan Kargo
31,PHILIPPINES AIRASIA,FILIPINA,Penumpang dan Kargo
32,PHILIPINES AIRLINES,FILIPINA,Penumpang dan Kargo
33,QANTAS AIRWAYS LIMITED,AUSTRALIA,Penumpang dan Kargo
34,QATAR AIRWAYS,QATAR,Penumpang dan Kargo
35,ROYAL BRUNEI AIRLINES,BRUNEI DARUSSALAM,Penumpang dan Kargo
36,SAUDI ARABIAN AIRLINES,ARAB SAUDI,Penumpang dan Kargo
37,SCOOT PTE LTD,SINGAPURA,Penumpang dan Kargo
38,SHANDONG AIRLINES,REPUBLIK RAKYAT TIONGKOK,Penumpang dan Kargo
39,SICHUAN AIRLINES,REPUBLIK RAKYAT TIONGKOK,Penumpang dan Kargo
40,SINGAPORE AIRLINES,SINGAPURA,Penumpang dan Kargo
41,SRILANKAN AIRLINES,SRILANKA,Penumpang dan Kargo
42,STARLUX AIRLINES,REPUBLIK TIONGKOK (ROC),Penumpang dan Kargo
43,THAI AIRASIA,THAILAND,Penumpang dan Kargo
44,THAI AIRWAYS INTERNATIONAL,THAILAND,Penumpang dan Kargo
45,THAI LION AIR,THAILAND,Penumpang dan Kargo
46,TURKISH AIRLINES,TURKI,Penumpang dan Kargo
47,UZBEKISTAN AIRWAYS,UZBEKISTAN,Penumpang dan Kargo
48,VIETJET AVIATION,VIETNAM,Penumpang dan Kargo
49,AEROFLOT RUSSIAN AIRLINES,RUSIA,Penumpang dan Kargo
50,AIR BUSAN,KOREA SELATAN,Penumpang dan Kargo
51,JEJU AIR CO. LTD.,KOREA SELATAN,Penumpang dan Kargo
52,VIETNAM AIRLINES,VIETNAM,Penumpang dan Kargo
53,VIRGIN AUSTRALIA INTERNATIONAL AIRLINES,AUSTRALIA,Penumpang dan Kargo
54,ΧΙΑΜΕN AIRLINES,REPUBLIK RAKYAT TIONGKOK,Penumpang dan Kargo
55,AIR INDIA LIMITED,INDIA,Penumpang dan Kargo
56,KOREAN AIR,KOREA SELATAN,Khusus Kargo
57,K-MILE AIR,THAILAND,Khusus Kargo
58,CATHAY PACIFIC AIRWAYS,HONGKONG,Khusus Kargo
59,CARGOLUX AIRLINES INTERNATIONAL,LUXEMBOURG,Khusus Kargo
60,CHINA AIRLINES LIMITED,REPUBLIK TIONGKOK (ROC),Khusus Kargo
61,FEDERAL EXPRESS CORPORATION,USA,Khusus Kargo
62,RAYA AIRWAYS,MALAYSIA,Khusus Kargo
63,YTO Cargo Airlines,REPUBLIK RAKYAT TIONGKOK,Khusus Kargo
64,HAINAN AIRLINES,REPUBLIK RAKYAT TIONGKOK,Penumpang dan Kargo
65,THAI VIETJET AIR,THAILAND,Penumpang dan Kargo
