NO,RUTE (ASAL),RUTE (TUJUAN)
1,Muara Teweh (HMS),Banjarmasin (BDJ)
2,Fak-fak (FKQ),Ambon (AMQ)
3,Fak-fak (FKQ),Teluk Bintoni (BXB)
4,Jakarta-HLP (HLP),Cepu (CPF)
5,Yogyakarta (JOG),Denpasar (DPS)
6,Tahuna (NAH),Melangguane (MNA)
7,Toraja (TRT),Balikpapan (BPN)
8,Timika (TIM),Jayapura (DJJ)
9,Makassar (UPG),Kotabaru (KBU)
10,Teluk Bintoni (BXB),Ambon (AMQ)
11,Jakarta-HLP (HLP),Jayapura (DJJ)
12,Banyumas (PWL),Jakarta-HLP (HLP)
13,Solo (SOC),Pontianak (PNK)
14,Surabaya (SUB),Banyumas (PWL)
15,Merauke (MKQ),Ewer (EWE)
16,Pangkalan Bun (PKN),Jakarta-HLP (HLP)
17,Timika (TIM),Ewer (EWE)
18,Tarakan (TRK),Gorontalo (GTO)
19,Ternate (TTE),Jakarta-HLP (HLP)
20,Surabaya (SUB),Tanjung Redeb (BEJ)
21,Balikpapan (BPN),Banjarmasin (BDJ)
22,Jakarta (CGK),Banjarmasin (BDJ)
23,Jakarta (CGK),Jambi (DJB)
24,Jakarta (CGK),Medan (KNO)
25,Jakarta (CGK),Padang Pariaman (PDG)
26,Jakarta (CGK),Sampit (SMQ)
27,Jakarta (CGK),Tanjung Pinang (TNJ)
28,Jayapura (DJJ),Yahukimo (DEX)
29,Siborong-borong (DTB),Batam (BTH)
30,Jakarta-HLP (HLP),Balikpapan (BPN)
31,Majalengka (KJT),Balikpapan (BPN)
32,Medan (KNO),Siborong-borong (DTB)
33,Kupang (KOE),Bajawa (BJW)
34,Labuhan Bajo (LBJ),Kupang (KOE)
35,"Praya, Lombok (LOP)",Labuhan Bajo (LBJ)
36,Manado (MDC),Gorontalo (GTO)
37,Manokwari (MKW),Jayapura (DJJ)
38,Maumere (MOF),Kupang (KOE)
39,Nabire (NBX),Manokwari (MKW)
40,Padang Pariaman (PDG),Jambi (DJB)
41,Pekanbaru (PKU),Batam (BTH)
42,Palembang (PLM),Bandung (BDO)
43,Palembang (PLM),Padang Pariaman (PDG)
44,Pontianak (PNK),Batam (BTH)
45,Singkep (SIQ),Batam (BTH)
46,Solo (SOC),Denpasar (DPS)
47,Sorong (SOQ),Jayapura (DJJ)
48,Sanana (SQN),Ambon (AMQ)
49,Semarang (SRG),Karimun Jawa (KWB)
50,Surabaya (SUB),Balikpapan (BPN)
51,Surabaya (SUB),Kendari (KDI)
52,Surabaya (SUB),Pekanbaru (PKU)
53,Surabaya (SUB),Semarang (SRG)
54,Timika (TIM),Manado (MDC)
55,Bandar Lampung (TKG),Batam (BTH)
56,Tambolaka (TMC),Kupang (KOE)
57,Tarakan (TRK),Nunukan (NNX)
