NO,RUTE ASAL,RUTE TUJUAN
1,Jakarta (CGK),Ho Chi Minh City (SGN)
2,Ho Chi Minh City (SGN),Denpasar (DPS)
3,Jakarta (CGK),Chengdu (CTU)
4,Pekanbaru (PKU),Kuala Lumpur (KUL)
5,Yogyakarta (YIA),Kuala Lumpur (KUL)
6,Jakarta (CGK),Addis Ababa (ADD)
7,Denpasar (DPS),Bangkok-Don Mueang (DMK)
8,Haneda (HND),Denpasar (DPS)
9,Padang Pariaman (PDG),Kuala Lumpur (KUL)
10,Makassar (UPG),Jeddah (JED)
11,Manado (MDC),Fuzhou (FOC)
12,Palembang (PLM),Kuala Lumpur (KUL)
13,Makassar (UPG),Kuala Lumpur (KUL)
14,Jakarta (CGK),Denpasar (DPS)
15,Jakarta (CGK),Findel (LUX)
16,Kuala Lumpur (KUL),Banda Aceh (BTJ)
17,Pontianak (PNK),KUCHING (KCH)
18,Jakarta (CGK),Dubai (DWC)
19,Kuala Lumpur (KUL),Denpasar (DPS)
20,Pontianak (PNK),Kuala Lumpur (KUL)
21,Jakarta (CGK),Istanbul (IST)
22,Jakarta (CGK),Fuzhou (FOC)
23,Jakarta (CGK),Riyadh (RUH)
24,Jakarta (CGK),Wuhan (WUH)
25,Hanoi (HAN),Denpasar (DPS)
26,Manila (MNL),Denpasar (DPS)
27,Perth (PER),"Praya, Lombok (LOP)"
28,Jakarta (CGK),Colombo (CMB)
29,Jakarta (CGK),Haikou (HAK)
30,Jakarta (CGK),Johor Baru (JHB)
31,Jakarta (CGK),Manila (MNL)
32,Jakarta (CGK),Xiamen (XMN)
33,Denpasar (DPS),Changsha (CSX)
34,Hangzhou (HGH),Denpasar (DPS)
35,Medan (KNO),Bangkok-Don Mueang (DMK)
36,"Praya, Lombok (LOP)",Kuala Lumpur (KUL)
37,Nanjing (NKG),Denpasar (DPS)
38,Port Hedland (PHE),Denpasar (DPS)
39,Singapura (SIN),Pekanbaru (PKU)
40,Semarang (SRG),Singapura (SIN)
41,Surabaya (SUB),Singapura (SIN)
42,Taipei (TPE),Denpasar (DPS)
43,Xiamen (XMN),Denpasar (DPS)
44,Jakarta (CGK),Hanoi (HAN)
45,Jakarta (CGK),Osaka (KIX)
46,Jakarta (CGK),Nanning (NNG)
47,Jakarta (CGK),Singapura (SIN)
48,Denpasar (DPS),Adelaide (ADL)
49,Denpasar (DPS),DILI (DIL)
50,Hongkong (HKG),Denpasar (DPS)
51,Medan (KNO),Jeddah (JED)
52,Manado (MDC),Guangzhou (CAN)
53,Narita (NRT),Denpasar (DPS)
54,Singapura (SIN),Bandung (BDO)
55,Singapura (SIN),Palembang (PLM)
56,Surabaya (SUB),Bandar Seri Begawan (BWN)
57,Oblast Moskwa (SVO),Denpasar (DPS)
58,Tawau (TWU),Tarakan (TRK)
59,Jakarta (CGK),Bangkok-Don Mueang (DMK)
60,Jakarta (CGK),Hangzhou (HGH)
61,Jakarta (CGK),Kunming (KMG)
62,Jakarta (CGK),Narita (NRT)
63,Jakarta (CGK),Sydney (SYD)
64,Denpasar (DPS),Auckland (AKL)
65,Kuala Lumpur (KUL),Bandung (BDO)
66,Manado (MDC),Changsha (CSX)
67,Pekanbaru (PKU),Malaka (MKZ)
68,Singapura (SIN),Balikpapan (BPN)
69,Solo (SOC),Haikou (HAK)
70,Surabaya (SUB),Hongkong (HKG)
71,Sydney (SYD),Denpasar (DPS)
72,Yogyakarta (YIA),Singapura (SIN)
73,Jakarta (CGK),Amsterdam (AMS)
74,Jakarta (CGK),Doha (DOH)
75,Jakarta (CGK),Hongkong (HKG)
76,Jakarta (CGK),Kuala Lumpur (KUL)
77,Jakarta (CGK),Beijing (PEK)
78,Jakarta (CGK),Subang (SZB)
79,Denpasar (DPS),Bangkok (BKK)
80,Denpasar (DPS),Doha (DOH)
81,Incheon (ICN),Denpasar (DPS)
82,Kuala Lumpur (KUL),Balikpapan (BPN)
83,Beijing (PEK),Denpasar (DPS)
84,Singapura (SIN),Denpasar (DPS)
85,Solo (SOC),Jeddah (JED)
86,Surabaya (SUB),Jeddah (JED)
87,Subang (SZB),Batam (BTH)
88,Jakarta (CGK),Abu Dhabi (AUH)
89,Jakarta (CGK),Haneda (HND)
90,Jakarta (CGK),Penang (PEN)
91,Jakarta (CGK),Shenzhen (SZX)
92,Denpasar (DPS),Brisbane (BNE)
93,DARWIN (DRW),Denpasar (DPS)
94,Istanbul (IST),Denpasar (DPS)
95,Medinah (MED),Balikpapan (BPN)
96,Penang (PEN),Banda Aceh (BTJ)
97,Singapura (SIN),Jakarta-HLP (HLP)
98,Solo (SOC),Kuala Lumpur (KUL)
99,Surabaya (SUB),Johor Baru (JHB)
100,Subang (SZB),Pekanbaru (PKU)
101,Makassar (UPG),Singapura (SIN)
102,Jakarta (CGK),Bangkok (BKK)
103,Jakarta (CGK),Incheon (ICN)
104,Jakarta (CGK),Muscat (MCT)
105,Jakarta (CGK),Perth (PER)
106,Jakarta (CGK),Tashkent (TAS)
107,Denpasar (DPS),Guangzhou (CAN)
108,Dubai (DXB),Denpasar (DPS)
109,Jeddah (JED),Balikpapan (BPN)
110,Medinah (MED),Medan (KNO)
111,Penang (PEN),Medan (KNO)
112,Singapura (SIN),Medan (KNO)
113,Solo (SOC),Medinah (MED)
114,Surabaya (SUB),Kuala Lumpur (KUL)
115,Shenzhen (SZX),Batam (BTH)
116,Wuhan (WUH),Denpasar (DPS)
117,Jakarta (CGK),Bandar Seri Begawan (BWN)
118,Jakarta (CGK),Dubai (DXB)
119,Jakarta (CGK),Medinah (MED)
120,Jakarta (CGK),Pudong (PVG)
121,Jakarta (CGK),Taipei (TPE)
122,Denpasar (DPS),Zhengshou (CGO)
123,Fuzhou (FOC),Denpasar (DPS)
124,Nanchang (KHN),Denpasar (DPS)
125,Kuala Lumpur (KUL),Siborong-borong (DTB)
126,Melbourne (MEL),Denpasar (DPS)
127,Perth (PER),Denpasar (DPS)
128,Pudong (PVG),Denpasar (DPS)
129,Singapura (SIN),"Praya, Lombok (LOP)"
130,Semarang (SRG),Haikou (HAK)
131,Surabaya (SUB),Medinah (MED)
132,Shenzhen (SZX),Denpasar (DPS)
133,Xian (XIY),Batam (BTH)
134,Jakarta (CGK),Guangzhou (CAN)
135,Jakarta (CGK),Jeddah (JED)
136,Jakarta (CGK),Melbourne (MEL)
137,Denpasar (DPS),Cairns (CNS)
138,Osaka (KIX),Denpasar (DPS)
139,Kuala Lumpur (KUL),Medan (KNO)
140,Pudong (PVG),Manado (MDC)
141,Singapura (SIN),Manado (MDC)
142,Semarang (SRG),Kuala Lumpur (KUL)
143,Surabaya (SUB),Penang (PEN)
144,Bandar Lampung (TKG),Kuala Lumpur (KUL)
145,Xian (XIY),Denpasar (DPS)
