NO,RUTE (ASAL - TUJUAN)
1,Surabaya(SUB) - Jeddah(JED)
2,KUCHING(KCH) - Balikpapan(BPN)
3,Jakarta(CGK) - Dubai(DWC)
4,Surabaya(SUB) - Medinah(MED)
5,Jakarta(CGK) - Dubai(DXB)
6,Jakarta(CGK) - Medinah(MED)
7,Jakarta(CGK) - Wenzhou(WNZ)
8,Jakarta(CGK) - Fuzhou(FOC)
9,Jakarta(CGK) - Wuhan(WUH)
10,Makassar(UPG) - Jeddah(JED)
11,Manado(MDC) - Fuzhou(FOC)
12,Penang(PEN) - Denpasar(DPS)
13,Makassar(UPG) - Kuala Lumpur(KUL)
14,Jakarta(CGK) - Chengdu(CTU)
15,Jakarta(CGK) - KUCHING(KCH)
16,Jakarta(CGK) - Nanjing(NKG)
17,Surabaya(SUB) - Hongkong(HKG)
18,Makassar(UPG) - Medinah(MED)
19,Jakarta(CGK) - Addis Ababa(ADD)
20,Jakarta(CGK) - Bangkok-Don Mueang(DMK)
21,Jakarta(CGK) - Hangzhou(HGH)
22,Jakarta(CGK) - Osaka(KIX)
23,Jakarta(CGK) - Nanning(NNG)
24,Jakarta(CGK) - Sydney(SYD)
25,Denpasar(DPS) - Auckland(AKL)
26,DARWIN(DRW) - Denpasar(DPS)
27,Istanbul(IST) - Denpasar(DPS)
28,Kuala Lumpur(KUL) - Denpasar(DPS)
29,Melbourne(MEL) - Denpasar(DPS)
30,Perth(PER) - Denpasar(DPS)
31,Pudong(PVG) - Denpasar(DPS)
32,Singapura(SIN) - Manado(MDC)
33,Subang(SZB) - Pekanbaru(PKU)
34,Makassar(UPG) - Singapura(SIN)
35,Jakarta(CGK) - Amsterdam(AMS)
36,Jakarta(CGK) - Doha(DOH)
37,Jakarta(CGK) - Hongkong(HKG)
38,Jakarta(CGK) - Kunming(KMG)
39,Jakarta(CGK) - Narita(NRT)
40,Jakarta(CGK) - Subang(SZB)
41,Denpasar(DPS) - Bangkok(BKK)
42,Dubai(DXB) - Denpasar(DPS)
43,Kuala Lumpur(KUL) - Siborong-borong(DTB)
44,Manila(MNL) - Denpasar(DPS)
45,"Perth(PER) - Praya, Lombok(LOP)"
46,Pudong(PVG) - Manado(MDC)
47,Singapura(SIN) - Pekanbaru(PKU)
48,Surabaya(SUB) - Johor Baru(JHB)
49,Shenzhen(SZX) - Denpasar(DPS)
50,Wuhan(WUH) - Denpasar(DPS)
51,Jakarta(CGK) - Abu Dhabi(AUH)
52,Jakarta(CGK) - Denpasar(DPS)
53,Jakarta(CGK) - Haneda(HND)
54,Jakarta(CGK) - Kuala Lumpur(KUL)
55,Jakarta(CGK) - Beijing(PEK)
56,Jakarta(CGK) - Shenzhen(SZX)
57,Denpasar(DPS) - Brisbane(BNE)
58,Fuzhou(FOC) - Denpasar(DPS)
59,Osaka(KIX) - Denpasar(DPS)
60,Kuala Lumpur(KUL) - Medan(KNO)
61,Nanjing(NKG) - Denpasar(DPS)
62,Port Hedland(PHE) - Denpasar(DPS)
63,Ho Chi Minh City(SGN) - Denpasar(DPS)
64,Singapura(SIN) - Palembang(PLM)
65,Surabaya(SUB) - Kuala Lumpur(KUL)
66,Bandar Lampung(TKG) - Kuala Lumpur(KUL)
67,Xiamen(XMN) - Denpasar(DPS)
68,Jakarta(CGK) - Bangkok(BKK)
69,Jakarta(CGK) - Incheon(ICN)
70,Jakarta(CGK) - Muscat(MCT)
71,Jakarta(CGK) - Penang(PEN)
72,Jakarta(CGK) - Taipei(TPE)
73,Denpasar(DPS) - Guangzhou(CAN)
74,Hanoi(HAN) - Denpasar(DPS)
75,Medan(KNO) - Bangkok-Don Mueang(DMK)
76,"Praya, Lombok(LOP) - Kuala Lumpur(KUL)"
77,Narita(NRT) - Denpasar(DPS)
78,Pekanbaru(PKU) - Kuala Lumpur(KUL)
79,Singapura(SIN) - Bandung(BDO)
80,Solo(SOC) - Kuala Lumpur(KUL)
81,Taipei(TPE) - Denpasar(DPS)
82,Yogyakarta(YIA) - Kuala Lumpur(KUL)
83,Jakarta(CGK) - Bandar Sri Bengawan(BWN)
84,Jakarta(CGK) - Istanbul(IST)
85,Jakarta(CGK) - Perth(PER)
86,Denpasar(DPS) - Cairns(CNS)
87,Hangzhou(HGH) - Denpasar(DPS)
88,Medan(KNO) - Jeddah(JED)
89,Manado(MDC) - Guangzhou(CAN)
90,Padang Pariaman(PDG) - Kuala Lumpur(KUL)
91,Pekanbaru(PKU) - Malaka(MKZ)
