NO,KOTA
1,Alor(ARD)
2,Ambon(AMQ)
3,Anambas(LMU)
4,Atambua(ABU)
5,Bajawa(BJW)
6,Balikpapan(BPN)
7,Banda Aceh(BTJ)
8,Bandar Lampung(TKG)
9,Bandung(BDO)
10,Banjarmasin(BDJ)
11,Banyumas(PWL)
12,Banyuwangi(BWX)
13,Batam(BTH)
14,Batulicin(BTW)
15,Bau Bau(BUW)
16,Bengkulu(BKS)
17,Biak(BIK)
18,Bima(BMU)
19,Bintuni(NTI)
20,Bungo(BUU)
21,Buol(UOL)
22,Cepu(CPF)
23,Denpasar(DPS)
24,Dobo(DOB)
25,Ende(ENE)
26,Fak-fak(FKQ)
27,Gorontalo(GTO)
28,Gunung Sitoli(GNS)
29,Jakarta(CGK)
30,Jakarta-HLP(HLP)
31,Jambi(DJB)
32,Jayapura(DJJ)
33,Kaimana(KNG)
34,Kao(KAZ)
35,Kendari(KDI)
36,KEP.TALAUD(IAX)
37,Ketapang(KTG)
38,Kolaka(KXB)
39,Kotabaru(KBU)
40,Kufar-Seram Timur(KFR)
41,Kupang(KOE)
42,Labuha(LAH)
43,Labuhan Bajo(LBJ)
44,Langgur(LUV)
45,Larantuka(LKA)
46,Lasikin(LKI)
47,Lewoleba(LWE)
48,Lhokseumawe(LSW)
49,Lubuk Linggau(LLJ)
50,Luwuk(LUW)
51,Maba(PGQ)
52,Majalengka(KJT)
53,Makassar(UPG)
54,Malang(MLG)
55,Malinau(LNU)
56,Mamuju(MJU)
57,Manado(MDC)
58,Manokwari(MKW)
59,Mappi(KEI)
60,Maumere(MOF)
61,Medan(KNO)
62,Melak(GHS)
63,Melangguane(MNA)
64,Merauke(EWE)
65,Merauke(MKQ)
66,Meulaboh(MEQ)
67,Moa(JIO)
68,Morotai(OTI)
69,Morowali(MOH)
70,Muara Teweh(HMS)
71,Muna(RAQ)
72,Nabire(NBX)
73,Namlea(NAM)
74,Namrole(NRE)
75,NATUNA(NTX)
76,Oksibil(OKL)
77,Padang Pariaman(PDG)
78,Palangkaraya(PKY)
79,Palembang(PLM)
80,Palopo(Bua)(LLO)
81,Palu(PLW)
82,Pangandaran(CJN)
83,Pangkal Pinang(PGK)
84,Pangkalan Bun(PKN)
85,Pekanbaru(PKU)
86,Pongtiku(TRT)
87,Pontianak(PNK)
88,"Praya, Lombok(LOP)"
89,Putu Sibau(PSU)
90,Rote(RTI)
91,Ruteng(RTG)
92,Sabu(SAU)
93,Samarinda(AAP)
94,Sampit(SMQ)
95,Sanana(SQN)
96,Saumlaki(SXK)
97,Selayar(KSR)
98,Semarang(SRG)
99,Serui(ZRI)
100,Sibolga(FLZ)
101,Siborong-borong(DTB)
102,Sinabang(SNB)
103,Singkep(SIQ)
104,Sintang(SQG)
105,Solo(SOC)
106,Sorong(SOQ)
107,Sumbawa Besar(SWQ)
108,Surabaya(SUB)
109,Tahuna(NAH)
110,Takengon(TXE)
111,Tambelan(TBX)
112,Tambolaka(TMC)
113,Tanah Merah(TMH)
114,Tanjung Pandan(TJQ)
115,Tanjung Pinang(TNJ)
116,Tanjung Redeb(BEJ)
117,Tanjung Selor(TJS)
118,Tarakan(TRK)
119,Teluk Bintoni(TXB)
120,Ternate(TTE)
121,Timika(TIM)
122,Toli-toli(TLI)
123,Waingapu(WGP)
124,Wamena(WMX)
125,Wangi-Wangi(WNI)
126,Yahukimo(DEX)
127,Yogyakarta(JOG)
128,Yogyakarta(YIA)
