NO,KOTA
1,Abu Dhabi(AUH)
2,Adelaide(ADL)
3,Amsterdam(AMS)
4,Auckland(AKL)
5,Bandar Sri Begawan(BWN)
6,Bangkok(BKK)
7,Bangkok-Don Mueang(DMK)
8,Beijing(PEK)
9,Brisbane(BNE)
10,Cairns(CNS)
11,Cairo(CAI)
12,Chengdu(CTU)
13,Chengdu(TFU)
14,Chennai(MAA)
15,Colombo(CMB)
16,Darwin(DRW)
17,Delhi(DEL)
18,Dili(DIL)
19,Doha(DOH)
20,Dubai(DWC)
21,Dubai(DXB)
22,Fuzhou(FOC)
23,Gold Coast(OOL)
24,Guangzhou(CAN)
25,Guilin(KWL)
26,Haneda(HND)
27,Hangzhou(HGH)
28,Hanoi(HAN)
29,Ho Chi Minh City(SGN)
30,Hongkong(HKG)
31,Incheon(ICN)
32,Istanbul(IST)
33,Jeddah(JED)
34,Johor Baru(JHB)
35,Kota Kinabalu(BKI)
36,Kuala Lumpur(KUL)
37,Kuching(KCH)
38,Kunming(KMG)
39,Macau(MFM)
40,Malaka(MKZ)
41,Manila(MNL)
42,Medinah(MED)
43,Melbourne(MEL)
44,Mumbai(BOM)
45,Muscat(MCT)
46,Nanjing(NKG)
47,Nanning(NNG)
48,Narita(NRT)
49,Penang(PEN)
50,Perth(PER)
51,Phnom Penh(PNH)
52,Port Moresby(POM)
53,Pudong(PVG)
54,Riyadh(RUH)
55,Shenzhen(SZX)
56,Singapura(SIN)
57,Subang(SZB)
58,Sydney(SYD)
59,Taipei(TPE)
60,Tashkent(TAS)
61,Wenzhou(WNZ)
62,Wuhan(WUH)
63,Xiamen(XMN)
