NO,KOTA
1,Alor(ARD)
2,Ambon(AMQ)
3,Anambas(LMU)
4,Atambua(ABU)
5,Bajawa(BJW)
6,Balikpapan(BPN)
7,Banda Aceh(BTJ)
8,Bandar Lampung(TKG)
9,Bandung(BDO)
10,Banjarmasin(BDJ)
11,Banyuwangi(BWX)
12,Batam(BTH)
13,Batulicin(BTW)
14,Bau Bau(BUW)
15,Bengkulu(BKS)
16,Biak(BIK)
17,Bima(BMU)
18,Bungo(BUU)
19,Buol(UOL)
20,Denpasar(DPS)
21,Dhoho(DHX)
22,Dobo(DOB)
23,Ende(ENE)
24,Fak-fak(FKQ)
25,Gorontalo(GTO)
26,Gunung Sitoli(GNS)
27,HMS
28,Jakarta(CGK)
29,Jakarta-HLP(HLP)
30,Jambi(DJB)
31,Jayapura(DJJ)
32,Kaimana(KNG)
33,KALIMANTAN TIMUR(RTU)
34,Kao(KAZ)
35,Kendari(KDI)
36,Ketapang(KTG)
37,Kolaka(KXB)
38,Kotabaru(KBU)
39,Kufar-Seram Timur(KFR)
40,Kupang(KOE)
41,Labuha(LAH)
42,Labuhan Bajo(LBJ)
43,Langgur(LUV)
44,Larantuka(LKA)
45,Lewoleba(LWE)
46,Lhokseumawe(LSW)
47,LKI
48,Lubuk Linggau(LLJ)
49,Luwuk(LUW)
50,Majalengka(KJT)
51,Makassar(UPG)
52,Malang(MLG)
53,Malinau(LNU)
54,Mamuju(MJU)
55,Manado(MDC)
56,Manokwari(MKW)
57,Mappi(KEI)
58,Maumere(MOF)
59,Medan(KNO)
60,Melak(GHS)
61,Melangguane(MNA)
62,Merauke(EWE)
63,Merauke(MKQ)
64,Meulaboh(MEQ)
65,Moa(JIO)
66,Morotai(OTI)
67,Morowali(MOH)
68,Nabire(NBX)
69,Namlea(NAM)
70,Namrole(NRE)
71,NATUNA(NTX)
72,Oksibil(OKL)
73,Padang Pariaman(PDG)
74,Palangkaraya(PKY)
75,Palembang(PLM)
76,Palopo(Bua)(LLO)
77,Palu(PLW)
78,PANGANDARAN(CJN)
79,Pangkal Pinang(PGK)
80,Pangkalan Bun(PKN)
81,Pekanbaru(PKU)
82,Pontianak(PNK)
83,"Praya, Lombok(LOP)"
84,Putu Sibau(PSU)
85,Rote(RTI)
86,Ruteng(RTG)
87,Sabu(SAU)
88,Samarinda(AAP)
89,Sampit(SMQ)
90,Sanana(SQN)
91,Saumlaki(SXK)
92,Semarang(SRG)
93,Serui(ZRI)
94,Sibolga(FLZ)
95,Siborong-borong(DTB)
96,Sintang(SQG)
97,Solo(SOC)
98,Sorong(SOQ)
99,Sumbawa Besar(SWQ)
100,Surabaya(SUB)
101,Tahuna(NAH)
102,Tambolaka(TMC)
103,Tanah Merah(TMH)
104,Tanjung Pandan(TJQ)
105,Tanjung Pinang(TNJ)
106,Tanjung Redeb(BEJ)
107,Tanjung Selor(TJS)
108,Tarakan(TRK)
109,Ternate(TTE)
110,Timika(TIM)
111,Toli-toli(TLI)
112,TRT
113,Waingapu(WGP)
114,Wamena(WMX)
115,Wangi-Wangi(WNI)
116,Yahukimo(DEX)
117,Yogyakarta(JOG)
118,Yogyakarta(YIA)
