NO,RUTE (PP)
1,Dhoho(DHX) - Balikpapan(BPN)
2,Medan(KNO) - Jambi(DJB)
3,Pangkalan Bun(PKN) - Balikpapan(BPN)
4,Semarang(SRG) - Padang Pariaman(PDG)
5,Sumbawa Besar(SWQ) - Denpasar(DPS)
6,Tanah Merah(TMH) - Merauke(MKQ)
7,Makassar(UPG) - Banjarmasin(BDJ)
8,"Makassar(UPG) - Praya, Lombok(LOP)"
9,Yogyakarta(YIA) - Tanjung Redeb(BEJ)
10,Yogyakarta(YIA) - Padang Pariaman(PDG)
11,Banjarmasin(BDJ) - Samarinda(AAP)
12,Jambi(DJB) - Batam(BTH)
13,Mamuju(MJU) - Balikpapan(BPN)
14,Pontianak(PNK) - Denpasar(DPS)
15,Sampit(SMQ) - Pangkalan Bun(PKN)
16,Sorong(SOQ) - Denpasar(DPS)
17,Surabaya(SUB) - Medan(KNO)
18,Bandar Lampung(TKG) - Batam(BTH)
19,Tarakan(TRK) - Samarinda(AAP)
20,Yogyakarta(YIA) - Pangkal Pinang(PGK)
21,Jakarta(CGK) - Majalengka(KJT)
22,Denpasar(DPS) - Dhoho(DHX)
23,"Praya, Lombok(LOP) - Banjarmasin(BDJ)"
24,Merauke(MKQ) - Jayapura(DJJ)
25,Sampit(SMQ) - Palangkaraya(PKY)
26,Semarang(SRG) - Pekanbaru(PKU)
27,Bandar Lampung(TKG) - Denpasar(DPS)
28,Jakarta(CGK) - Dhoho(DHX)
29,Pontianak(PNK) - Pangkalan Bun(PKN)
30,Semarang(SRG) - Palangkaraya(PKY)
31,Bandar Lampung(TKG) - Medan(KNO)
32,Yogyakarta(YIA) - Jambi(DJB)
33,Yogyakarta(YIA) - Palangkaraya(PKY)
34,Ende(ENE) - Bima(BMU)
35,"Praya, Lombok(LOP) - Balikpapan(BPN)"
36,Semarang(SRG) - Palembang(PLM)
37,Batam(BTH) - Bengkulu(BKS)
38,Denpasar(DPS) - Samarinda(AAP)
39,Medan(KNO) - Balikpapan(BPN)
40,"Praya, Lombok(LOP) - Batam(BTH)"
41,Manado(MDC) - Denpasar(DPS)
42,Semarang(SRG) - Medan(KNO)
43,Semarang(SRG) - Pontianak(PNK)
44,Timika(TIM) - Nabire(NBX)
45,Buol(UOL) - Palu(PLW)
46,Makassar(UPG) - Kupang(KOE)
47,Wangi-Wangi(WNI) - Makassar(UPG)
48,Batam(BTH) - Balikpapan(BPN)
49,Pangkal Pinang(PGK) - Batam(BTH)
50,Semarang(SRG) - Sampit(SMQ)
51,Timika(TIM) - Sorong(SOQ)
52,Makassar(UPG) - Dhoho(DHX)
53,Banda Aceh(BTJ) - Batam(BTH)
