NO,RUTE (PP)
1,Port Moresby(POM) - Denpasar(DPS)
2,Denpasar(DPS) - Abu Dhabi(AUH)
3,Phuket(HKT) - Denpasar(DPS)
4,Kuala Lumpur(KUL) - Batam(BTH)
5,Manado(MDC) - Kota Kinabalu(BKI)
6,Busan(PUS) - Denpasar(DPS)
7,Makassar(UPG) - Jeddah(JED)
8,Jakarta(CGK) - Kota Kinabalu(BKI)
9,Denpasar(DPS) - Kota Kinabalu(BKI)
10,Incheon(ICN) - Batam(BTH)
11,Surabaya(SUB) - Perth(PER)
12,Jakarta(CGK) - Jeddah(JED)
13,Denpasar(DPS) - Doha(DOH)
14,SINGAPURA(SIN) - Pekanbaru(PKU)
15,Denpasar(DPS) - Bangalore(BLR)
16,Oblast Moskwa(SVO) - Denpasar(DPS)
17,Jakarta(CGK) - KUCHING(KCH)
18,Jakarta(CGK) - Riyadh(RUH)
19,Medan(KNO) - Bangkok-Don Mueang(DMK)
20,Medinah(MED) - Medan(KNO)
21,Jakarta(CGK) - Nanning(NNG)
22,Medan(KNO) - Doha(DOH)
23,Labuhan Bajo(LBJ) - Kuala Lumpur(KUL)
24,Denpasar(DPS) - Canberra(CBR)
25,Medan(KNO) - Jeddah(JED)
26,Langkawi(LGK) - Medan(KNO)
27,SINGAPURA(SIN) - Majalengka(KJT)
28,Denpasar(DPS) - Auckland(AKL)
29,Denpasar(DPS) - Delhi(DEL)
30,Hongkong(HKG) - Denpasar(DPS)
31,Kuala Lumpur(KUL) - Balikpapan(BPN)
32,"Praya, Lombok(LOP) - Kuala Lumpur(KUL)"
33,Narita(NRT) - Denpasar(DPS)
34,SINGAPURA(SIN) - Medan(KNO)
35,Surabaya(SUB) - Kuala Lumpur(KUL)
36,Taipei(TPE) - Denpasar(DPS)
37,Jakarta(CGK) - Abu Dhabi(AUH)
38,Jakarta(CGK) - Bangkok-Don Mueang(DMK)
39,Jakarta(CGK) - Incheon(ICN)
40,Jakarta(CGK) - Muscat(MCT)
41,Jakarta(CGK) - Penang(PEN)
42,Jakarta(CGK) - Subang(SZB)
43,Denpasar(DPS) - DILI(DIL)
44,Narita(NRT) - Manado(MDC)
45,"SINGAPURA(SIN) - Praya, Lombok(LOP)"
46,Surabaya(SUB) - Penang(PEN)
47,Jakarta(CGK) - Doha(DOH)
48,Jakarta(CGK) - Istanbul(IST)
49,Jakarta(CGK) - Medinah(MED)
50,Jakarta(CGK) - Perth(PER)
51,Jakarta(CGK) - Shenzhen(SZX)
52,Denpasar(DPS) - Bangkok-Don Mueang(DMK)
53,Kuala Lumpur(KUL) - Banda Aceh(BTJ)
54,Manado(MDC) - Guangzhou(CAN)
55,Gold Coast(OOL) - Denpasar(DPS)
56,Pudong(PVG) - Denpasar(DPS)
57,SINGAPURA(SIN) - Manado(MDC)
58,Makassar(UPG) - Kuala Lumpur(KUL)
59,Jakarta(CGK) - Bangkok(BKK)
60,Jakarta(CGK) - Dubai(DWC)
61,Jakarta(CGK) - Melbourne(MEL)
62,Jakarta(CGK) - Phnom Penh(PNH)
63,Jakarta(CGK) - Tashkent(TAS)
64,Denpasar(DPS) - Bangkok(BKK)
65,Incheon(ICN) - Denpasar(DPS)
66,Kuala Lumpur(KUL) - Denpasar(DPS)
67,Manado(MDC) - Denpasar(DPS)
68,Padang Pariaman(PDG) - Kuala Lumpur(KUL)
69,Ho Chi Minh City(SGN) - Denpasar(DPS)
70,Surabaya(SUB) - SINGAPURA(SIN)
71,Makassar(UPG) - SINGAPURA(SIN)
72,Jakarta(CGK) - Mumbai(BOM)
73,Jakarta(CGK) - Dubai(DXB)
74,Jakarta(CGK) - Johor Baru(JHB)
75,Jakarta(CGK) - Macau(MFM)
76,Jakarta(CGK) - Pudong(PVG)
77,Jakarta(CGK) - TFU
78,DARWIN(DRW) - Denpasar(DPS)
79,Istanbul(IST) - Denpasar(DPS)
80,Kuala Lumpur(KUL) - Majalengka(KJT)
81,Manado(MDC) - Fuzhou(FOC)
82,Penang(PEN) - Banda Aceh(BTJ)
83,SINGAPURA(SIN) - Balikpapan(BPN)
84,Semarang(SRG) - SINGAPURA(SIN)
85,Xiamen(XMN) - Denpasar(DPS)
86,Jakarta(CGK) - BANDAR SRI BEGAWAN(BWN)
87,Jakarta(CGK) - Fuzhou(FOC)
88,Jakarta(CGK) - Manila(MNL)
89,Jakarta(CGK) - Taipei(TPE)
90,Denpasar(DPS) - Brisbane(BNE)
91,Dubai(DXB) - Denpasar(DPS)
92,Kuala Lumpur(KUL) - Medan(KNO)
93,Penang(PEN) - Medan(KNO)
94,SINGAPURA(SIN) - Denpasar(DPS)
95,Surabaya(SUB) - BANDAR SRI BEGAWAN(BWN)
96,Sydney(SYD) - Denpasar(DPS)
97,Yogyakarta(YIA) - Kuala Lumpur(KUL)
98,Jakarta(CGK) - Cairo(CAI)
99,Jakarta(CGK) - Hanoi(HAN)
100,Jakarta(CGK) - Kunming(KMG)
101,Jakarta(CGK) - Ho Chi Minh City(SGN)
102,Jakarta(CGK) - Xiamen(XMN)
103,Denpasar(DPS) - Guangzhou(CAN)
104,Fuzhou(FOC) - Denpasar(DPS)
105,Melbourne(MEL) - Denpasar(DPS)
106,Perth(PER) - Denpasar(DPS)
107,SINGAPURA(SIN) - Jakarta-HLP(HLP)
108,Surabaya(SUB) - Hongkong(HKG)
109,Subang(SZB) - Batam(BTH)
110,Yogyakarta(YIA) - SINGAPURA(SIN)
111,Jakarta(CGK) - Guangzhou(CAN)
112,Jakarta(CGK) - Hongkong(HKG)
113,Jakarta(CGK) - Kuala Lumpur(KUL)
114,Jakarta(CGK) - Narita(NRT)
115,Jakarta(CGK) - SINGAPURA(SIN)
116,Denpasar(DPS) - Adelaide(ADL)
117,Hanoi(HAN) - Denpasar(DPS)
118,Manila(MNL) - Denpasar(DPS)
119,Pekanbaru(PKU) - Kuala Lumpur(KUL)
120,Surabaya(SUB) - Johor Baru(JHB)
121,Shenzhen(SZX) - Denpasar(DPS)
122,Jakarta(CGK) - Amsterdam(AMS)
123,Jakarta(CGK) - Colombo(CMB)
124,Jakarta(CGK) - Haneda(HND)
125,Jakarta(CGK) - Guilin(KWL)
126,Jakarta(CGK) - Beijing(PEK)
127,Jakarta(CGK) - Sydney(SYD)
128,Denpasar(DPS) - Cairns(CNS)
