NO,DESCRIPTION,Unit,2020,2021,2022,2023,2024
1,Aircraft KM,(000),67.540,71.032,86.155,101.341,84.310
2,Aircraft Departure,number,58.027,59.326,77.432,85.507,74.619
3,Aircraft Hours,number,91226:52,108214:09,150339:30,167383:21:00,140325:04:00
4,Passenger Carried,number,6.123.017,7.260.547,9.882.953,10.735.964,9.692.694
5,Freight Carried,ton,45.149,52.852,50.980,66.670,67.714
6,Passenger KM,(000),7.192.288,8.681.206,10.920.223,12.739.641,11.033.261
7,Available Seat KM,(000),10.794.070,11.358.612,13.646.381,16.060.453,13.306.839
8,Passenger L/F,(%),"66,63","76,43","80,02","79,32","82,91"
9a,Ton KM Performed - Passenger,(000),565.589,692.400,854.735,993.078,859.818
9b,Ton KM Performed - Freight,(000),59.891,71.785,69.654,99.420,97.119
9c,Ton KM Performed - Mail,(000),728,5.389,1.479,-,-
9d,Ton KM Performed - Total,(000),626.207,769.574,925.868,1.092.498,956.937
10,Available Ton KM,(000),1.178.205,1.240.985,1.481.387,1.740.759,1.426.098
11,Weight L/F,(%),"53,15","62,01","62,50","62,76","67,10"
