NO,DESCRIPTION,Unit,2020,2021,2022,2023,2024
1,Aircraft KM,(000),54.602,70.260,60.170,69.056,72.006
2,Aircraft Departure,number,65.467,79.502,68.596,83.171,84.779
3,Aircraft Hours,number,104860:06,137001:51,121235:30,143364:06,148048:14:00
4,Passenger Carried,number,5.421.720,7.524.408,9.159.775,11.228.261,11.778.454
5,Freight Carried,ton,57.849,87.858,69.224,63.719,83.622
6,Passenger KM,(000),4.670.571,6.933.346,8.158.958,9.706.456,10.283.456
7,Available Seat KM,(000),9.805.988,10.973.158,10.419.270,12.116.734,12.730.027
8,Passenger L/F,(%),"47,63","63,18","78,31","80,11","80,78"
9a,Ton KM Performed - Passenger,(000),431.031,624.001,734.307,935.716,997.495
9b,Ton KM Performed - Freight,(000),58.330,89.482,69.512,63.009,85.994
9c,Ton KM Performed - Mail,(000),-,-,-,-,-
9d,Ton KM Performed - Total,(000),489.361,713.483,803.819,998.725,1.083.489
10,Available Ton KM,(000),1.195.305,1.503.666,1.287.441,1.466.953,1.550.218
11,Weight L/F,(%),"40,94","47,45","62,44","68,08","69,89"
