NO,DESCRIPTION,Unit,2020,2021,2022,2023,2024
1,Aircraft KM,(000),61.804,81.668,69.002,95.822,124.278
2,Aircraft Departure,number,65.485,43.098,33.955,47.166,60.736
3,Aircraft Hours,number,114282:49,85859:10,67334:25,92971:40:00,121060:02:00
4,Passenger Carried,number,4.619.487,3.490.812,4.646.651,6.314.490,8.665.055
5,Freight Carried,ton,115.598,95.726,69.293,71.634,100.226
6,Passenger KM,(000),4.379.314,7.057.706,9.692.687,13.029.095,18.085.561
7,Available Seat KM,(000),10.006.693,14.789.319,12.121.203,16.643.724,21.476.363
8,Passenger L/F,(%),"43,76","47,72","79,96","78,28","84,21"
9a,Ton KM Performed - Passenger,(000),398.518,635.193,872.341,925.066,1.288.466
9b,Ton KM Performed - Freight,(000),132.107,191.366,143.549,147.162,214.967
9c,Ton KM Performed - Mail,(000),7.988,-,-,-,-
9d,Ton KM Performed - Total,(000),538.612,826.559,1.015.890,1.072.228,1.503.433
10,Available Ton KM,(000),1.235.813,1.871.121,1.494.386,1.974.871,2.480.801
11,Weight L/F,(%),"43,58","44,17","67,98","54,29","60,60"
