NO,DESCRIPTION,Unit,2020,2021,2022,2023,2024
1,Aircraft KM,(000),8.127,5.838,12.419,11.555,9.803
2,Aircraft Departure,number,9.674,5.596,12.676,13.246,11.314
3,Aircraft Hours,number,15552:07,10267:25,22154:05,21125:05,17704:40:00
4,Passenger Carried,number,1.113.480,637.453,1.676.437,2.017.452,1.796.152
5,Freight Carried,ton,7.060,6.197,10.704,6.990,6.118
6,Passenger KM,(000),937.058,683.196,1.652.465,1.753.342,1.563.540
7,Available Seat KM,(000),1.462.864,1.050.831,2.235.372,2.079.894,1.764.542
8,Passenger L/F,(%),"64,06","65,01","73,92","84,30","88,61"
9a,Ton KM Performed - Passenger,(000),84.335,61.488,148.719,131.459,117.250
9b,Ton KM Performed - Freight,(000),7.445,7.126,12.863,7.969,6.494
9c,Ton KM Performed - Mail,(000),-,-,-,-,0
9d,Ton KM Performed - Total,(000),91.780,68.614,161.582,139.429,123.744
10,Available Ton KM,(000),134.909,96.910,206.153,196.477,164.749
11,Weight L/F,(%),"68,03","70,80","78,38","70,96",75
