NO,DESCRIPTION,Unit,2020,2021,2022,2023,2024
1,Aircraft KM,(000),82.071,63.146,113.102,106.266,91.685
2,Aircraft Departure,number,88.742,66.371,115.448,109.769,92.749
3,Aircraft Hours,number,154305:54,108375:28,195594:50,186152:52:00,157652:04
4,Passenger Carried,number,12.516.590,9.893.130,18.731.962,18.287.883,15.684.878
5,Freight Carried,ton,75.941,55.080,80.391,87.441,94.419
6,Passenger KM,(000),11.362.683,9.371.102,18.296.150,17.640.978,15.461.262
7,Available Seat KM,(000),16.870.559,12.998.517,23.270.598,21.995.634,19.212.177
8,Passenger L/F,(%),"67,35","72,09","78,62","80,20","80,48"
9a,Ton KM Performed - Passenger,(000),806.751,665.348,1.299.025,1.252.512,1.091.315
9b,Ton KM Performed - Freight,(000),77.627,56.063,83.925,93.203,103.246
9c,Ton KM Performed - Mail,(000),1.367,481,698,692,608
9d,Ton KM Performed - Total,(000),885.745,721.892,1.383.648,1.346.407,1.195.169
10,Available Ton KM,(000),1.738.787,1.323.362,2.382.187,2.258.612,1.977.847
11,Weight L/F,(%),"50,94","54,55","58,08","59,61","60,43"
